chr	promoter_start	promoter_end
chr1	129271301	129273301
chr9	44041383	44043383
chr17	3324572	3326572
chr11	70503243	70505243
chr5	144761818	144763818
chr7	25304105	25306105
chr5	100159808	100161808
chr17	45549677	45551677
chr9	123260764	123262764
chr1	72282368	72284368
chr17	80942631	80944631
chr1	75477531	75479531
chr10	26079052	26081052
chrX	99819020	99821020
chr16	57292865	57294865
chr8	70487358	70489358
chr12	87019339	87021339
chr7	25675166	25677166
chr9	75611325	75613325
chr14	122984035	122986035
chr2	134644145	134646145
chr9	54068388	54070388
chr11	117652288	117654288
chr9	111309738	111311738
chr10	114802307	114804307
chr11	58952684	58954684
chr4	65602985	65604985
chr3	89246309	89248309
chr7	109508134	109510134
chr8	124791091	124793091
chr4	133498550	133500550
chr4	154140208	154142208
chr3	36690167	36692167
chr3	54154034	54156034
chrX	144688180	144690180
chr9	8542141	8544141
chr13	56895993	56897993
chr11	73232291	73234291
chr6	41636405	41638405
chr6	127885588	127887588
chr10	34295441	34297441
chr15	33687884	33689884
chr17	46487675	46489675
chr4	106620431	106622431
chr16	94368617	94370617
chr4	109404622	109406622
chr12	81629248	81631248
chr7	27651914	27653914
chr15	83510893	83512893
chr7	108948337	108950337
chr13	34078007	34080007
chr13	34130466	34132466
chr8	123409423	123411423
chr11	101153906	101155906
chr3	94658872	94660872
chr17	65951226	65953226
chr11	116581447	116583447
chr13	69739889	69741889
chrX	153496226	153498226
chr5	66674090	66676090
chr5	137292628	137294628
chr11	78341481	78343481
chr8	71671757	71673757
chr13	54947410	54949410
chr8	29219636	29221636
chr1	66466366	66468366
chr15	85015140	85017140
chr2	58565297	58567297
chrX	20701905	20703905
chr3	32815545	32817545
chrX	7375830	7377830
chr7	6728577	6730577
chr11	69086489	69088489
chr1	190979296	190981296
chr8	114203611	114205611
chr19	59170056	59172056
chr5	137024391	137026391
chr10	5637217	5639217
chr3	64079546	64081546
chr6	57825159	57827159
chr5	135078266	135080266
chr12	11436613	11438613
chr11	16255723	16257723
chr2	157912652	157914652
chr16	20587470	20589470
chr11	11112222	11114222
chr1	70723714	70725714
chr19	10632212	10634212
chr8	54887184	54889184
chr6	83156397	83158397
chr9	108578739	108580739
chr10	121031959	121033959
chr15	85582473	85584473
chr5	113488332	113490332
chr1	3671498	3673498
chr14	63604502	63606502
chr2	153029851	153031851
chr11	69933795	69935795
chr16	17142620	17144620
chr16	17067695	17069695
chr2	84732057	84734057
chr5	135934616	135936616
chr17	34877482	34879482
chr9	48836222	48838222
chr4	129440853	129442853
chrX	36193903	36195903
chrX	136991154	136993154
chr1	63271264	63273264
chr12	86990430	86992430
chr2	77819639	77821639
chr7	37773641	37775641
chr9	18478268	18480268
chr17	36999162	37001162
chr7	24587641	24589641
chr7	6284578	6286578
chr3	9610085	9612085
chrX	112598525	112600525
chr2	82051221	82053221
chr5	7344756	7346756
chr17	32809931	32811931
chr10	81231154	81233154
chr9	91365810	91367810
chr14	122473434	122475434
chr9	91360412	91362412
chr7	6696450	6698450
chr4	58941627	58943627
chr8	23634018	23636018
chr11	11462408	11464408
chr10	72652844	72654844
