MGI Gene ID	Gene Symbol	Gene Name	Type	Chr	Genome Location-GRCm38	cM	Strand	
MGI:2137225	Mrpl33	mitochondrial ribosomal protein L33	protein coding gene	5	31613951-31622644	17.27	+	
MGI:2153089	Mrps2	mitochondrial ribosomal protein S2	protein coding gene	2	28468066-28471178	19.38	+	
MGI:2146005	Mtbp	Mdm2, transformed 3T3 cell double minute p53 binding protein	protein coding gene	15	55557408-55626423	22.05	+	
MGI:1916075	Mtmr14	myotubularin related protein 14	protein coding gene	6	113237843-113281392	52.74	+	
MGI:1332242	Mycs	myc-like oncogene, s-myc protein	protein coding gene	X	5466904-5469265	2.4	-	
MGI:108005	Myd88	myeloid differentiation primary response gene 88	protein coding gene	9	119335988-119340040	71.33	-	
MGI:2444777	Ncaph	non-SMC condensin I complex, subunit H	protein coding gene	2	127103809-127133954	61.76	-	
MGI:1920944	Ndufaf7	NADH:ubiquinone oxidoreductase complex assembly factor 7	protein coding gene	17	78937136-78948052	49.67	+	
MGI:2142824	Nek5	NIMA (never in mitosis gene a)-related expressed kinase 5	protein coding gene	8	22073616-22125053	10.95	-	
MGI:102744	Nelfe	negative elongation factor complex member E, Rdbp	protein coding gene	17	34850391-34856372	18.4	+	
MGI:1344417	Neu2	neuraminidase 2	protein coding gene	1	87574027-87597845	44.44	+	
MGI:1355305	Neu3	neuraminidase 3	protein coding gene	7	99811439-99828417	54.15	-	
MGI:2661364	Neu4	sialidase 4	protein coding gene	1	94020493-94028334	47.46	+	
MGI:1923646	Nfxl1	nuclear transcription factor, X-box binding-like 1	protein coding gene	5	72513301-72559684	38.44	-	
MGI:2442058	Nipa1	non imprinted in Prader-Willi/Angelman syndrome 1 homolog (human)	protein coding gene	7	55978484-56019573	33.42	-	
MGI:1278343	Nipsnap2	nipsnap homolog 2	protein coding gene	5	129725063-129758327	68.26	+	
MGI:1923447	Nkain2	Na+/K+ transporting ATPase interacting 2	protein coding gene	10	31689310-32890462	17.56	-	
MGI:109346	Nkx1-1	NK1 homeobox 1	protein coding gene	5	33430734-33433976	17.65	-	
MGI:1915289	Nmb	neuromedin B	protein coding gene	7	80902227-80905076	45.71	-	
MGI:1918019	Nolc1	nucleolar and coiled-body phosphoprotein 1	protein coding gene	19	46075863-46085530	38.75	+	
MGI:1926488	Npvf	neuropeptide VF precursor	protein coding gene	6	50650871-50654393	24.34	-	
MGI:104513	Nqo2	N-ribosyldihydronicotinamide quinone reductase 2	protein coding gene	13	33964687-33988443	14.01	+	
MGI:1914419	Nradd	neurotrophin receptor associated death domain	protein coding gene	9	110621135-110624393	60.26	-	
MGI:1201386	Nrd1	nardilysin, N-arginine dibasic convertase, NRD convertase 1	protein coding gene	4	109000655-109061777	50.77	+	
MGI:2684969	Nrsn2	neurensin 2	protein coding gene	2	152368755-152376638	74.89	-	
MGI:1914679	Nudcd1	NudC domain containing 1	protein coding gene	15	44375227-44428307	16.91	-	
MGI:2387618	Nudt6	nudix (nucleoside diphosphate linked moiety X)-type motif 6	protein coding gene	3	37404982-37420186	18.46	-	
MGI:1916732	Nup35	nucleoporin 35	protein coding gene	2	80638812-80660071	48.31	+	
MGI:1919964	Nup37	nucleoporin 37	protein coding gene	10	88146992-88178390	43.7	+	
MGI:97454	Oca2	oculocutaneous albinism II	protein coding gene	7	56239760-56536518	33.44	+	
MGI:106586	Omg	oligodendrocyte myelin glycoprotein	protein coding gene	11	79500982-79504082	46.79	-	
MGI:1913930	Oser1	oxidative stress responsive serine rich 1	protein coding gene	2	163405822-163419470	84.26	-	
MGI:1891247	Otof	otoferlin	protein coding gene	5	30367062-30461932	16.48	-	
MGI:1891061	Oxct2a	3-oxoacid CoA transferase 2A	protein coding gene	4	123321875-123323634	57.42	-	
MGI:97453	Oxt	oxytocin	protein coding gene	2	130576173-130577054	63.24	+	
MGI:1920334	Pak7	p21 (RAC1) activated kinase 7	protein coding gene	2	136081104-136387967	67.32	-	
MGI:1913547	Pantr1	POU domain, class 3, transcription factor 3 adjacent noncoding transcript 1	lncRNA gene	1	42648200-42694825	21.08	-	
MGI:1913870	Pantr2	POU domain, class 3, transcription factor 3 adjacent noncoding transcript 2	lncRNA gene	1	42707061-42713454		-	
MGI:2681880	Pcdha2	protocadherin alpha 2	protein coding gene	18	36939205-37187657	19.46	+	
MGI:1298406	Pcdha4	protocadherin alpha 4	protein coding gene	18	36952689-37187657	19.46	+	
MGI:1298371	Pcdha5	protocadherin alpha 5	protein coding gene	18	36960440-37187657	19.46	+	
MGI:1298367	Pcdha6	protocadherin alpha 6	protein coding gene	18	36967756-37187657	19.46	+	
MGI:1298408	Pcdha10	protocadherin alpha 10	protein coding gene	18	37005320-37187657	19.46	+	
MGI:1298372	Pcdha11	protocadherin alpha 11	protein coding gene	18	37010858-37187657	19.46	+	
MGI:1298370	Pcdha12	protocadherin alpha 12	protein coding gene	18	37020230-37187657	19.46	+	
MGI:1891443	Pcdhac2	protocadherin alpha subfamily C, 2	protein coding gene	18	37143969-37187657	19.46	+	
MGI:2136749	Pcdhb14	protocadherin beta 14	protein coding gene	18	37447657-37451094	19.5	+	
MGI:1935212	Pcdhga1	protocadherin gamma subfamily A, 1	protein coding gene	18	37661945-37841870	19.54	+	
MGI:1935216	Pcdhga4	protocadherin gamma subfamily A, 4	protein coding gene	18	37685400-37841870	19.55	+	
MGI:1935173	Pcdhgb4	protocadherin gamma subfamily B, 4	protein coding gene	18	37720554-37841870	19.58	+	
MGI:1935197	Pcdhgb6	protocadherin gamma subfamily B, 6	protein coding gene	18	37742094-37841873	19.61	+	
MGI:1935201	Pcdhgc3	protocadherin gamma subfamily C, 3	protein coding gene	18	37806410-37841873	19.67	+	
MGI:1935205	Pcdhgc5	protocadherin gamma subfamily C, 5	protein coding gene	18	37819546-37841873	19.69	+	
MGI:1277958	Pcm1	pericentriolar material 1	protein coding gene	8	41239752-41332344	23.89	+	
MGI:1891924	Pcnx	pecanex homolog	protein coding gene	12	81860028-82000924	37.98	+	
MGI:1918878	Pdp2	pyruvate dehyrogenase phosphatase catalytic subunit 2	protein coding gene	8	104591468-104599026	53.04	+	
MGI:1922394	Pdzd2	PDZ domain containing 2	protein coding gene	15	12359711-12739924	5.9	-	
MGI:1922523	Pelp1	proline, glutamic acid and leucine rich protein 1	protein coding gene	11	70392883-70410031	42.99	-	
MGI:104628	Penk-rs	preproenkephalin, related sequence	unclassified other genome feature	9	syntenic			
MGI:5568841	Perl	postnatal lethality associated noncoding RNA	lincRNA gene	3	syntenic			
MGI:1929646	Pex3	peroxisomal biogenesis factor 3	protein coding gene	10	13523842-13553142	4.89	-	
MGI:2676330	Pgr15l	G protein-coupled receptor 15-like	protein coding gene	X	97072596-97082104	42.71	+	
MGI:2181434	Phc3	polyhomeotic 3	protein coding gene	3	30899371-30969415	14.36	-	
MGI:1916020	Phtf2	putative homeodomain transcription factor 2	protein coding gene	5	20758664-20882124	9.83	-	
MGI:894645	Pick1	protein interacting with C kinase 1	protein coding gene	15	79229160-79249466	37.7	+	
MGI:2154240	Plxnb3	plexin B3	protein coding gene	X	73757090-73772514	37.4	+	
MGI:97722	Pnlip	pancreatic lipase	protein coding gene	19	58670365-58681788	54.46	+	
MGI:2180565	Pnma3	paraneoplastic antigen MA3	protein coding gene	X	73064787-73068191	37.29	+	
MGI:1921903	Pomk	protein-O-mannose kinase	protein coding gene	8	25980604-25994121	14.25	-	
MGI:1921138	Ppp1r42	protein phosphatase 1, regulatory subunit 42	protein coding gene	1	9968624-10009136	2.25	-	
MGI:1916267	Prrt2	proline-rich transmembrane protein 2	protein coding gene	7	127017535-127021211	69.28	-	
MGI:2684822	Prss43	protease, serine 43	protein coding gene	9	110826690-110831507	60.79	+	
MGI:5477181	Ptgs2os2	prostaglandin-endoperoxide synthase 2, opposite strand 2	lncRNA gene	1	150159043-150164948		-	
MGI:97813	Ptpre	protein tyrosine phosphatase, receptor type, E	protein coding gene	7	135537824-135686294	81.27	+	
MGI:1915209	Puf60	poly-U binding splicing factor 60	protein coding gene	15	76070182-76080924	35.32	-	
MGI:1917158	Rab3b	RAB3B, member RAS oncogene family	protein coding gene	4	108879070-108943324	50.67	+	
MGI:1929945	Rab37	RAB37, member RAS oncogene family	protein coding gene	11	115091431-115162236	80.59	+	
MGI:2441753	Rab42	RAB42, member RAS oncogene family	protein coding gene	4	132302197-132303385	65.14	-	
MGI:1913929	Rae1	ribonucleic acid export 1	protein coding gene	2	173000117-173015739	95.66	+	
MGI:894315	Rap1b	RAS related protein 1b	protein coding gene	10	117814597-117845974	66.32	-	
MGI:2444365	Rapgef5	Rap guanine nucleotide exchange factor (GEF) 5	protein coding gene	12	117516479-117759737	63.06	+	
MGI:1924550	Raph1	Ras association (RalGDS/AF-6) and pleckstrin homology domains 1	protein coding gene	1	60482292-60567104	30.48	-	
MGI:2149960	Rasa2	RAS p21 protein activator 2	protein coding gene	9	96539300-96631617	50.66	-	
MGI:1330842	Rasal1	RAS protein activator like 1 (GAP1 like)	protein coding gene	5	120648812-120679597	60.63	+	
MGI:109137	Rasgrf2	RAS protein-specific guanine nucleotide-releasing factor 2	protein coding gene	13	91880407-92131494	47.43	-	
MGI:1333849	Rasgrp2	RAS, guanyl releasing protein 2	protein coding gene	19	6399340-6415216	4.58	+	
MGI:104605	Rasl2-9	RAS-like, family 2, locus 9	protein coding gene	7	5124942-5125950	2.96	-	
MGI:1913954	Rbm4b	RNA binding motif protein 4B	protein coding gene	19	4756497-4767065	4.11	+	
MGI:1098653	Rbm34	RNA binding motif protein 34	protein coding gene	8	126947172-126971071	74.64	-	
MGI:102581	Rdh11	retinol dehydrogenase 11	protein coding gene	12	79175551-79191819	35.51	-	
MGI:103021	Recql	RecQ protein-like	protein coding gene	6	142350342-142387087	73.91	-	
MGI:1919402	Rexo5	RNA exonuclease 5	protein coding gene	7	119794006-119848943	64.21	+	
MGI:106028	Rhoc	ras homolog family member C	protein coding gene	3	104789034-104794459	45.86	+	
MGI:1931553	Rhoq	ras homolog family member Q	protein coding gene	17	86963082-87000069	56.9	+	
MGI:1926078	Rhot1	ras homolog family member T1	protein coding gene	11	80209032-80267907	47.62	+	
MGI:3580237	Rhox1	reproductive homeobox 1	protein coding gene	X	37213804-37222258	21.63	-	
MGI:1338755	Rnd2	Rho family GTPase 2	protein coding gene	11	101468338-101471306	65.12	+	
MGI:2443787	Rnf152	ring finger protein 152	protein coding gene	1	105276914-105356710	49.45	-	
MGI:1914489	Rpf2	ribosome production factor 2 homolog	protein coding gene	10	40223246-40247036	21.76	-	
MGI:102788	Rph3a	rabphilin 3A	protein coding gene	5	120940499-121010092	61.17	-	
MGI:1914275	Rpl11	ribosomal protein L11	protein coding gene	4	136049947-136053371	68.34	-	
MGI:98002	Rpl12	ribosomal protein L12	protein coding gene	2	32961712-32964045	22.09	+	
MGI:1309526	Rps17	ribosomal protein S17	protein coding gene	7	81342733-81345234	45.71	-	
MGI:3630308	Rsph3b	radial spoke 3B homolog (Chlamydomonas)	protein coding gene	17	6904716-6948356	4.51	-	
MGI:103040	Rsu1	Ras suppressor protein 1	protein coding gene	2	13076967-13271416	9.73	-	
MGI:2685231	Rtl9	retrotransposon Gag like 9	protein coding gene	X	143099594-143104297	64.02	+	
MGI:1915295	Rtraf	RNA transcription, translation and transport factor	protein coding gene	14	19811402-19823823	10.95	-	
MGI:1920420	Rwdd3	RWD domain containing 3	protein coding gene	3	121155398-121171695	52.94	-	
MGI:2441827	Rxfp3	relaxin family peptide receptor 3	protein coding gene	15	11033717-11037968	5.42	-	
MGI:1921730	Samd4	sterile alpha motif domain containing 4	protein coding gene	14	46882965-47105817	24.41	+	
MGI:2448542	Samd4b	sterile alpha motif domain containing 4B	protein coding gene	7	28399522-28436191	16.73	-	
MGI:2444815	Samd5	sterile alpha motif domain containing 5	protein coding gene	10	9622936-9675208	3.15	-	
MGI:1924486	Sccpdh	saccharopine dehydrogenase (putative)	protein coding gene	1	179668210-179687189	83.62	+	
MGI:2687406	Scn4b	sodium channel, type IV, beta	protein coding gene	9	45139042-45154061	24.84	+	
MGI:1924066	Sdccag8	serologically defined colon cancer antigen 8	protein coding gene	1	176814660-177020437	82.66	+	
MGI:3616084	Sec14l5	SEC14-like lipid binding 5	protein coding gene	16	5147109-5187271	2.5	+	
MGI:2384805	Sectm1a	secreted and transmembrane 1A	protein coding gene	11	121067407-121081220	84.89	-	
MGI:1890404	Serhl	serine hydrolase-like	protein coding gene	15	83100192-83116675	39.32	+	
MGI:1919157	Serpina9	serine (or cysteine) peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 9	protein coding gene	12	103996613-104013776	52.98	-	
MGI:2443496	Sertad4	SERTA domain containing 4	protein coding gene	1	192844488-192855752	97.55	-	
MGI:2155278	Sesn1	sestrin 1	protein coding gene	10	41810574-41908436	22.77	+	
MGI:1915350	Sh3bgrl2	SH3 domain binding glutamic acid-rich protein like 2	protein coding gene	9	83548338-83600292	45.49	+	
MGI:2138297	Sh3bp4	SH3-domain binding protein 4	protein coding gene	1	89070462-89155068	45.05	+	
MGI:3613677	Shank1	SH3 and multiple ankyrin repeat domains 1	protein coding gene	7	44310253-44360572	28.83	+	
MGI:2671987	Shank2	SH3 and multiple ankyrin repeat domains 2	protein coding gene	7	144001928-144424494	88.45	+	
MGI:1930016	Shank3	SH3 and multiple ankyrin repeat domains 3	protein coding gene	15	89499705-89560261	44.96	+	
MGI:2146080	Shisa8	shisa family member 8	protein coding gene	15	82206952-82212815		-	
MGI:1919805	Shisa9	shisa family member 9	protein coding gene	16	11984113-12270902	6.89	+	
MGI:1353606	Siva1	SIVA1, apoptosis-inducing factor	protein coding gene	12	112644828-112649152	61.2	+	
MGI:2685542	Slc9a5	solute carrier family 9 (sodium/hydrogen exchanger), member 5	protein coding gene	8	105348843-105369881	53.04	+	
MGI:2137907	Slc25a2	solute carrier family 25 (mitochondrial carrier, ornithine transporter) member 2	protein coding gene	18	37637378-37638723	19.54	-	
MGI:2385330	Slc29a4	solute carrier family 29 (nucleoside transporters), member 4	protein coding gene	5	142692512-142722490	81.56	+	
MGI:2446181	Slc37a1	solute carrier family 37 (glycerol-3-phosphate transporter), member 1	protein coding gene	17	31294796-31350709	16.03	+	
MGI:1351896	Slco1a4	solute carrier organic anion transporter family, member 1a4	protein coding gene	6	141805440-141856199	72.9	-	
MGI:2145448	Slf1	SMC5-SMC6 complex localization factor 1	protein coding gene	13	77043088-77135473	40.98	-	
MGI:3819546	Snord64	small nucleolar RNA, C/D box 64	snoRNA gene	7	59978811-59978856	34.04	-	
MGI:4358283	Snord107	small nucleolar RNA, C/D box 107	snoRNA gene	7	59980876-59980945	34.04	-	
MGI:3510326	Snord115	small nucleolar RNA, C/D Box 115 cluster	complex/cluster/region	7	syntenic			
MGI:1924427	Sobp	sine oculis binding protein	protein coding gene	10	43002500-43174530	22.89	-	
MGI:1914879	Spc24	SPC24, NDC80 kinetochore complex component, homolog (S. cerevisiae)	protein coding gene	9	21755442-21760303	7.88	-	
MGI:1926232	Srsf7	serine/arginine-rich splicing factor 7	protein coding gene	17	80200080-80207307	50.63	-	
MGI:104896	Srsf9	serine/arginine-rich splicing factor 9	protein coding gene	5	115327177-115333080	56.05	+	
MGI:109243	St8sia5	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 5	protein coding gene	18	77185795-77255450	52.13	+	
MGI:1923560	Steap4	STEAP family member 4	protein coding gene	5	7960472-7982213	3.37	+	
MGI:2385007	Stk24	serine/threonine kinase 24	protein coding gene	14	121286343-121380011	64.95	-	
MGI:2444363	Strip2	striatin interacting protein 2	protein coding gene	6	29917012-29959681	12.36	+	
MGI:1915205	Sugt1	SGT1, suppressor of G2 allele of SKP1 (S. cerevisiae)	protein coding gene	14	79587691-79629755	42.72	+	
MGI:1919445	Supt7l	SPT7-like, STAGA complex gamma subunit	protein coding gene	5	31514569-31526762	17.27	-	
MGI:2138351	Susd4	sushi domain containing 4	protein coding gene	1	182763910-182896596	85.94	+	
MGI:1916466	Svbp	small vasohibin binding protein	protein coding gene	4	119195310-119201298	55.34	+	
MGI:2143691	Tafa2	TAFA chemokine like family member 2	protein coding gene	10	123264002-123741204	72.31	+	
MGI:1921694	Tasor	transcription activation suppressor	protein coding gene	14	27428840-27483555	16.51	+	
MGI:2672878	Tcfl5	transcription factor-like 5 (basic helix-loop-helix)	protein coding gene	2	180621956-180642702	103.16	-	
MGI:1919090	Tekt4	tektin 4	protein coding gene	17	25454675-25476602	12.6	+	
MGI:1195972	Terf2	telomeric repeat binding factor 2	protein coding gene	8	107069400-107096547	53.59	-	
MGI:1922873	Tex30	testis expressed 30	protein coding gene	1	44086613-44102441	23.54	-	
MGI:1924261	Ticrr	TOPBP1-interacting checkpoint and replication regulator	protein coding gene	7	79660196-79698148	45.09	+	
MGI:2159210	Tiparp	TCDD-inducible poly(ADP-ribose) polymerase	protein coding gene	3	65528447-65555518	30.2	+	
MGI:1346044	Tll2	tolloid-like 2	protein coding gene	19	41082753-41206835	34.39	-	
MGI:1341295	Tlr1	toll-like receptor 1	protein coding gene	5	64924679-64933563	33.53	-	
MGI:1341296	Tlr6	toll-like receptor 6	protein coding gene	5	64952031-64960097	33.54	-	
MGI:1932411	Tmem108	transmembrane protein 108	protein coding gene	9	103482947-103761837	55.47	-	
MGI:2685490	Tmem132e	transmembrane protein 132E	protein coding gene	11	82388900-82446332	50.08	+	
MGI:1920232	Tmem138	transmembrane protein 138	protein coding gene	19	10570478-10577362	6.6	-	
MGI:2147713	Tmem151a	transmembrane protein 151A	protein coding gene	19	5079337-5085477	4.24	-	
MGI:2685374	Tmem196	transmembrane protein 196	protein coding gene	12	119945822-120021246	63.86	+	
MGI:1919899	Tmem209	transmembrane protein 209	protein coding gene	6	30481022-30509783	12.52	-	
MGI:98788	Top1	topoisomerase (DNA) I	protein coding gene	2	160645897-160722764	80.96	+	
MGI:1345190	Tpra1	transmembrane protein, adipocyte asscociated 1	protein coding gene	6	88902251-88912238	39.65	+	
MGI:1923760	Trappc9	trafficking protein particle complex 9	protein coding gene	15	72589620-73061204	33.7	-	
MGI:2384311	Trhde	TRH-degrading enzyme	protein coding gene	10	114398821-114801370	61.59	-	
MGI:2442530	Trmt2b	TRM2 tRNA methyltransferase 2B	protein coding gene	X	134222955-134277026	55.95	-	
MGI:98848	Tshb	thyroid stimulating hormone, beta subunit	protein coding gene	3	102775465-102782718	45.25	-	
MGI:1917997	Tspan2	tetraspanin 2	protein coding gene	3	102734770-102772310	45.25	+	
MGI:1914375	Tspan31	tetraspanin 31	protein coding gene	10	127067290-127070261	74.5	-	
MGI:1915577	Tsr3	TSR3 20S rRNA accumulation	protein coding gene	17	25240170-25242798	12.53	+	
MGI:2444588	Ttc12	tetratricopeptide repeat domain 12	protein coding gene	9	49436963-49486225	26.83	-	
MGI:1920551	Ttc29	tetratricopeptide repeat domain 29	protein coding gene	8	78213302-78394326	36.86	+	
MGI:1921294	Ttf2	transcription termination factor, RNA polymerase II	protein coding gene	3	100938860-100969663	43.86	-	
MGI:1194921	Ttk	Ttk protein kinase	protein coding gene	9	83834689-83872389	45.61	+	
MGI:2141418	Ttll3	tubulin tyrosine ligase-like family, member 3	protein coding gene	6	113389260-113414583	52.76	+	
MGI:2443657	Ttll5	tubulin tyrosine ligase-like family, member 5	protein coding gene	12	85824920-86053760	39.81	+	
MGI:1921487	Tubgcp2	tubulin, gamma complex associated protein 2	protein coding gene	7	139995955-140036669	84.98	-	
MGI:1196293	Tubgcp4	tubulin, gamma complex associated protein 4	protein coding gene	2	121171168-121198770	60.37	+	
MGI:108278	Ube2m	ubiquitin-conjugating enzyme E2M	protein coding gene	7	13035120-13038275	7.73	-	
MGI:1934835	Ube2n	ubiquitin-conjugating enzyme E2N	protein coding gene	10	95515162-95545658	49.41	+	
MGI:1860283	Ubqln2	ubiquilin 2	protein coding gene	X	153498232-153501562	68.46	+	
MGI:1276123	Ucn	urocortin	protein coding gene	5	31138063-31138829	17.11	-	
MGI:1914740	Ufl1	UFM1 specific ligase 1	protein coding gene	4	25248600-25281821	10.59	-	
MGI:109522	Ugt8a	UDP galactosyltransferase 8A	protein coding gene	3	125865271-125938619	54.68	-	
MGI:1921622	Ulk4	unc-51-like kinase 4	protein coding gene	9	120964454-121286187	72.19	-	
MGI:1919936	Usp24	ubiquitin specific peptidase 24	protein coding gene	4	106316213-106441322	49.44	+	
MGI:1919230	Utp3	UTP3 small subunit processome component	protein coding gene	5	88554483-88556083	43.74	+	
MGI:1313276	Vamp1	vesicle-associated membrane protein 1	protein coding gene	6	125215581-125222306	59.32	+	
MGI:2444826	Vash2	vasohibin 2	protein coding gene	1	190947646-190979296	96.28	-	
MGI:1349450	Vat1	vesicle amine transport 1	protein coding gene	11	101458748-101466199	65.1	-	
MGI:1343180	Vgf	VGF nerve growth factor inducible	protein coding gene	5	137026392-137033351	76.13	+	
MGI:109272	Vipr1	vasoactive intestinal peptide receptor 1	protein coding gene	9	121642716-121672954	72.5	+	
MGI:2159453	Vmn1r26	vomeronasal 1 receptor 26	protein coding gene	6	58008183-58009202	27.82	-	
MGI:3704286	Vmn1r168	vomeronasal 1 receptor 168	protein coding gene	7	23540720-23541649	10.23	+	
MGI:3033481	Vmn1r177	vomeronasal 1 receptor 177	protein coding gene	7	23865520-23866449	10.26	-	
MGI:1913451	Vta1	vesicle (multivesicular body) trafficking 1	protein coding gene	10	14654760-14705523	5.5	-	
MGI:3041229	Vwa3a	von Willebrand factor A domain containing 3A	protein coding gene	7	120739318-120805742	64.9	+	
MGI:2443143	Wdr3	WD repeat domain 3	protein coding gene	3	100138180-100162403	43.46	-	
MGI:1919070	Wdr34	WD repeat domain 34	protein coding gene	2	30031551-30048879	21.04	-	
MGI:1891749	Wrap73	WD repeat containing, antisense to Trp73	protein coding gene	4	154142356-154156818	83.86	+	
MGI:3605071	Ypel4	yippee like 4	protein coding gene	2	84734058-84738655	49.45	+	
MGI:1919824	Zc3h14	zinc finger CCCH type containing 14	protein coding gene	12	98746964-98787753	49.88	+	
MGI:3620246	Zfhx2os	zinc finger homeobox 2, opposite strand	antisense lncRNA gene	14	55073091-55075874	28.06	+	
MGI:2686052	Zfp488	zinc finger protein 488	protein coding gene	14	33967070-33978764	20.8	-	
MGI:1915740	Zfp579	zinc finger protein 579	protein coding gene	7	4992852-4996101	2.88	-	
MGI:2442338	Zfp608	zinc finger protein 608	protein coding gene	18	54888048-54992555	29.28	-	
MGI:2448537	Zfp637	zinc finger protein 637	protein coding gene	6	117841180-117845956	55.59	+	
MGI:1196246	Znrf2	zinc and ring finger 2	protein coding gene	6	54816916-54890224	27.15	+	
MGI:1921714	Zswim5	zinc finger SWIM-type containing 5	protein coding gene	4	116877402-116989105	53.37	+	
