	gene	str	chr	promoter_start	promoter_end
6200	Lsm10	1	chr4	126094622	126096622
6201	Acpp	-1	chr9	104337748	104339748
6202	Cyp2r1	-1	chr7	114562972	114564972
6203	Nadk	1	chr4	155560377	155562377
6204	Ckm	1	chr7	19402775	19404775
6205	Odf2	1	chr2	29887220	29889220
6206	Arl5a	-1	chr2	52424901	52426901
6207	Crk	1	chr11	75677258	75679258
6208	Rpap2	1	chr5	107595372	107597372
6209	Fem1a	1	chr17	56254809	56256809
6210	Trpc4ap	-1	chr2	155692384	155694384
6211	Sart3	-1	chr5	113772510	113774510
6212	Gda	-1	chr19	21473445	21475445
6213	Ssrp1	1	chr2	85035233	85037233
6214	Slc7a7	-1	chr14	54417780	54419780
6215	Tbx22	1	chrX	107665963	107667963
6216	Gapdh	-1	chr6	125166467	125168467
6217	1110032A03Rik	-1	chr9	50775520	50777520
6218	Cacnb4	-1	chr2	52676831	52678831
6219	Cct6a	1	chr5	129784997	129786997
6220	Sorcs1	-1	chr19	50678646	50680646
6221	Nras	1	chr3	103056284	103058284
6222	Erc1	-1	chr6	119848167	119850167
6223	Commd1b	-1	chr11	22982090	22984090
6224	Zrsr1	1	chr11	22970004	22972004
6225	Commd1	-1	chr11	22982382	22984382
6226	Btbd35f10	-1	chrX	3752885	3754885
6227	Zfp825	-1	chr13	74493992	74495992
6228	Mrps26	1	chr2	130561741	130563741
6229	Mpl	-1	chr4	118457513	118459513
6230	Pfdn5	1	chr15	102324115	102326115
6231	Zfp26	-1	chr9	20460162	20462162
6232	Ncoa2	-1	chr1	13374083	13376083
6233	Gabarapl2	1	chr8	111938702	111940702
6234	B3gnt2	-1	chr11	22860961	22862961
6235	Ptpra	1	chr2	130448277	130450277
6236	Traf3ip2	1	chr10	39610933	39612933
6237	Gm11549	-1	chr3	36532384	36534384
6238	Fdxacb1	1	chr9	50766235	50768235
6239	Cyth4	1	chr15	78595046	78597046
6240	Nfs1	-1	chr2	156144186	156146186
6241	Psph	-1	chr5	129787449	129789449
6242	Cep170b	1	chr12	112718454	112720454
6243	Kcnc2	1	chr10	112269120	112271120
6244	Ralgps1	-1	chr2	33371486	33373486
6245	Slc12a2	1	chr18	57876677	57878677
6246	Hsfy2	-1	chr1	56637435	56639435
6247	Arhgef7	1	chr8	11725720	11727720
6248	Duox1	1	chr2	122313671	122315671
6249	Vmn2r69	-1	chr7	85415920	85417920
6250	Stx2	-1	chr5	129008574	129010574
6251	Nlrc4	-1	chr17	74459142	74461142
6252	Tnrc6a	1	chr7	123121884	123123884
6253	Zscan29	-1	chr2	121171125	121173125
6254	Nob1	-1	chr8	107425051	107427051
6255	Adcyap1	1	chr17	93197016	93199016
6256	Pros1	1	chr16	62852306	62854306
6257	Olfr91	-1	chr17	37098278	37100278
6258	Myg1	1	chr15	102329708	102331708
6259	Galnt6	-1	chr15	100729376	100731376
6260	Zfp607b	1	chr7	27687339	27689339
6261	Tubgcp4	1	chr2	121168653	121170653
6262	Olfr92	-1	chr17	37120088	37122088
6263	F9	1	chrX	59997463	59999463
6264	Olfr911-ps1	1	chr9	38519579	38521579
6265	Fam221a	1	chr6	49365738	49367738
6266	Slc19a2	1	chr1	164247045	164249045
6267	Wwc1	-1	chr11	35980527	35982527
6268	Tdh	-1	chr14	63509092	63511092
6269	Btbd35f16	-1	chrX	3957002	3959002
6270	Snrpa1	1	chr7	66057002	66059002
6271	Gm11541	-1	chr11	94704499	94706499
6272	Scrt1	-1	chr15	76522499	76524499
6273	Cdc34b	1	chr11	94739781	94741781
6274	Rbm12	-1	chr2	156111978	156113978
6275	Ins2	-1	chr7	142743381	142745381
6276	Micall2	-1	chr5	139736336	139738336
6277	Osbpl11	1	chr16	33183070	33185070
6278	Hr	1	chr14	70550211	70552211
6279	Pofut1	1	chr2	153239532	153241532
6280	Dbx1	-1	chr7	49636849	49638849
6281	Vmn2r71	1	chr7	85561086	85563086
6282	Vmn2r70	-1	chr7	85569192	85571192
6283	Olfr910	1	chr9	38535848	38537848
6284	Htatip2	1	chr7	49757114	49759114
6285	Camk2n2	-1	chr16	20621287	20623287
6286	AI413582	-1	chr17	27565756	27567756
6287	Olfr912	1	chr9	38578177	38580177
6288	Clec4d	1	chr6	123260110	123262110
6289	Tmem115	1	chr9	107531944	107533944
6290	Olfr93	-1	chr17	37161494	37163494
6291	Olfr1393	1	chr11	49276303	49278303
6292	Dipk1c	1	chr18	84717235	84719235
6293	Yipf4	1	chr17	74487492	74489492
6294	Elf5	1	chr2	103409687	103411687
6295	Sesn2	-1	chr4	132510501	132512501
6296	Cyb561d2	-1	chr9	107542193	107544193
6297	Zdhhc9	-1	chrX	48208878	48210878
6298	Zfp60	1	chr7	27729388	27731388
6299	Cpne1	-1	chr2	156111965	156113965
6300	Pcsk6	1	chr7	65859733	65861733
6301	Dnajc16	-1	chr4	141790931	141792931
6302	Lrrc73	1	chr17	46251530	46253530
6303	Spink1	-1	chr18	43737557	43739557
6304	Btbd35f3	1	chrX	4035673	4037673
6305	Cwh43	1	chr5	73404074	73406074
6306	Olfr1392	1	chr11	49283281	49285281
6307	Basp1	-1	chr15	25413764	25415764
6308	Nprl2	1	chr9	107540225	107542225
6309	Rxfp4	-1	chr3	88653142	88655142
6310	P2rx3	-1	chr2	85037462	85039462
6311	Fosl2	1	chr5	32133800	32135800
6312	Angel2	1	chr1	190923111	190925111
6313	4930583I09Rik	-1	chr17	64836071	64838071
6314	Olfr10	1	chr11	49302740	49304740
6315	Ifi206	-1	chr1	173491041	173493041
6316	Pou2f3	-1	chr9	43210369	43212369
6317	Tm4sf5	1	chr11	70503243	70505243
6318	Tmem249	-1	chr15	76535366	76537366
6319	Mbd3	-1	chr10	80399550	80401550
6320	Khdc4	1	chr3	88683802	88685802
6321	Spen	-1	chr4	141538597	141540597
6322	Tti1	-1	chr2	158028433	158030433
6323	Serpinb6e	-1	chr13	33843408	33845408
6324	Kif3b	1	chr2	153289412	153291412
6325	Sec63	1	chr10	42759495	42761495
6326	Abcd1	1	chrX	73714596	73716596
6327	Csnk1e	-1	chr15	79455566	79457566
6328	Olfr913	1	chr9	38590758	38592758
6329	Vsig10	1	chr5	117317082	117319082
6330	Cpne4	1	chr9	104545285	104547285
6331	Odaph	1	chr5	91985474	91987474
6332	Scgb3a2	1	chr18	43762288	43764288
6333	Sema4c	-1	chr1	36558349	36560349
6334	P4hb	-1	chr11	120573253	120575253
6335	Mmachc	-1	chr4	116708406	116710406
6336	Cma1	-1	chr14	55944675	55946675
6337	Ctdsp2	1	chr10	126976716	126978716
6338	Zmynd10	1	chr9	107545297	107547297
6339	Gm42669	1	chr5	107505620	107507620
6340	Tbc1d2	-1	chr4	46650209	46652209
6341	Tent5d	1	chrX	107790589	107792589
6342	Asxl1	1	chr2	153343828	153345828
6343	Sdf2	1	chr11	78243745	78245745
6344	Egfem1	1	chr3	29080022	29082022
6345	Cdc34	1	chr10	79680194	79682194
6346	Mroh2a	1	chr1	88224985	88226985
6347	Cma2	1	chr14	55948979	55950979
6348	Zfp451	-1	chr1	33814595	33816595
6349	Angptl2	1	chr2	33214068	33216068
6350	Olfm3	1	chr3	114902077	114904077
6351	Rpl27	1	chr11	101440297	101442297
6352	Supt6	-1	chr11	78245987	78247987
6353	2610002M06Rik	-1	chrX	107816334	107818334
6354	Atpif1	-1	chr4	132533659	132535659
6355	Tmco5	1	chr2	116876690	116878690
6356	Stxbp1	-1	chr2	32847245	32849245
6357	Zp1	-1	chr19	10920632	10922632
6358	Zbtb17	1	chr4	141442653	141444653
6359	Hjurp	-1	chr1	88277633	88279633
6360	Pikfyve	1	chr1	65184682	65186682
6361	Itpkb	1	chr1	180328484	180330484
6362	Dda1	1	chr8	71467198	71469198
6363	Olfr1391	1	chr11	49320741	49322741
6364	Fcgr2b	-1	chr1	170976547	170978547
6365	4930470P17Rik	-1	chr2	170602017	170604017
6366	Hyal2	1	chr9	107565944	107567944
6367	Mettl4	-1	chr17	94750019	94752019
6368	Olfr1390	1	chr11	49333187	49335187
6369	Tnip2	-1	chr5	34513991	34515991
6370	Calcrl	-1	chr2	84425411	84427411
6371	Tjap1	-1	chr17	46283026	46285026
6372	Gm45213	1	chr7	66041601	66043601
6373	Cdk4	1	chr10	127061533	127063533
6374	Tcl1	-1	chr12	105222793	105224793
6375	Gm94	-1	chr18	43792878	43794878
6376	Gapt	-1	chr13	110357199	110359199
6377	Cep164	-1	chr9	45828691	45830691
6378	Gm5901	1	chr7	105373037	105375037
6379	Upk1b	-1	chr16	38800328	38802328
6380	Snx4	1	chr16	33249441	33251441
6381	Dpy19l1	-1	chr9	24503140	24505140
6382	Tusc2	1	chr9	107561254	107563254
6383	Vmn2r72	-1	chr7	85755097	85757097
6384	Dok5	1	chr2	170729806	170731806
6385	Pafah1b3	-1	chr7	25297986	25299986
6386	Ccdc181	1	chr1	164273584	164275584
6387	Arntl2	1	chr6	146794054	146796054
6388	Ces3a	1	chr8	105046600	105048600
6389	Rassf1	1	chr9	107549554	107551554
6390	Washc2	1	chr6	116206037	116208037
6391	Gpr65	1	chr12	98266634	98268634
6392	Epop	-1	chr11	97629702	97631702
6393	Slc4a8	1	chr15	100759746	100761746
6394	Ano8	-1	chr8	71485963	71487963
6395	Clec4e	-1	chr6	123289870	123291870
6396	Mrps6	1	chr16	92056269	92058269
6397	Vsig4	-1	chrX	96293438	96295438
6398	Olfr914	1	chr9	38603101	38605101
6399	Dtl	-1	chr1	191575544	191577544
6400	Vmo1	-1	chr11	70514616	70516616
6401	Zfp626	1	chr7	27805195	27807195
6402	Gm49711	1	chr16	92056315	92058315
6403	Slc5a3	1	chr16	92056321	92058321
6404	Ppig	1	chr2	69720544	69722544
6405	Matn2	1	chr15	34304676	34306676
6406	Ero1l	-1	chr14	45318771	45320771
6407	Olfr916	-1	chr9	38659875	38661875
6408	Mylk3	-1	chr8	85386345	85388345
6409	1110059E24Rik	-1	chr19	21652976	21654976
6410	Mtmr9	-1	chr14	63543982	63545982
6411	Hsd17b3	-1	chr13	64089230	64091230
6412	Tmem92	-1	chr11	94782703	94784703
6413	Tppp2	1	chr14	51916424	51918424
6414	Fchsd2	1	chr7	101090862	101092862
6415	Rassf10	1	chr7	112951961	112953961
6416	Cep95	1	chr11	106787251	106789251
6417	Klrb1a	-1	chr6	128623533	128625533
6418	Rnase13	-1	chr14	51922773	51924773
6419	Ifi214	-1	chr1	173535957	173537957
6420	Tspan31	-1	chr10	127070264	127072264
6421	Fam178b	-1	chr1	36683183	36685183
6422	Ubd	1	chr17	37191891	37193891
6423	Smndc1	-1	chr19	53390578	53392578
6424	Ppcdc	-1	chr9	57440124	57442124
6425	Ly6e	1	chr15	74953050	74955050
6426	Cep83	1	chr10	94686653	94688653
6427	Xkr6	1	chr14	63604502	63606502
6428	Ccdc86	-1	chr19	10949266	10951266
6429	Pum1	1	chr4	130661320	130663320
6430	Olfr1389	1	chr11	49421066	49423066
6431	Csf2ra	-1	chr19	61228429	61230429
6432	Ptgdr2	1	chr19	10935159	10937159
6433	Hdac1	-1	chr4	129542713	129544713
6434	Nme7	1	chr1	164302120	164304120
6435	Zfp59	1	chr7	27836606	27838606
6436	Plch1	-1	chr3	63899472	63901472
6437	Olfr1388	1	chr11	49434623	49436623
6438	Serpinb6c	-1	chr13	33905708	33907708
6439	Sh3tc1	-1	chr5	35739987	35741987
6440	Aaas	-1	chr15	102350771	102352771
6441	Olfr1387	1	chr11	49453342	49455342
6442	S1pr1	-1	chr3	115715072	115717072
6443	Nfkb1	-1	chr3	135691547	135693547
6444	Gm45871	1	chr18	90577776	90579776
6445	D630039A03Rik	-1	chr4	57916297	57918297
6446	Cdk11b	1	chr4	155622853	155624853
6447	Was	-1	chrX	8090498	8092498
6448	Slc6a17	-1	chr3	107518018	107520018
6449	Hapln2	-1	chr3	88027583	88029583
6450	Calca	-1	chr7	114636357	114638357
6451	Prr19	1	chr7	25299410	25301410
6452	Zfp607a	1	chr7	27855526	27857526
6453	Vps33a	-1	chr5	123573038	123575038
6454	Ifi213	-1	chr1	173599274	173601274
6455	Ldlrad1	1	chr4	107207179	107209179
6456	Olfr1386	1	chr11	49463045	49465045
6457	Dusp5	1	chr19	53527108	53529108
6458	Epha1	-1	chr6	42373268	42375268
6459	Fut4	-1	chr9	14752393	14754393
6460	Btbd35f28	1	chrX	4194575	4196575
6461	Srek1	-1	chr13	103774608	103776608
6462	Cdr2l	1	chr11	115379915	115381915
6463	Nutf2-ps1	-1	chr19	53589068	53591068
6464	Vmn2r19	1	chr6	123306332	123308332
6465	Ran	1	chr5	129018068	129020068
6466	Blzf1	-1	chr1	164307489	164309489
6467	Fam49b	-1	chr15	64060478	64062478
6468	Shf	-1	chr2	122369162	122371162
6469	Vmn2r20	-1	chr6	123418116	123420116
6470	Yipf6	1	chrX	98934315	98936315
6471	Dph5	1	chr3	115885836	115887836
6472	Ces1d	-1	chr8	93197838	93199838
6473	Gm20532	1	chr2	26584638	26586638
6474	Mrpl3	1	chr9	105051238	105053238
6475	Xkr4	-1	chr1	3671498	3673498
6476	Agpat2	-1	chr2	26604417	26606417
6477	Crtc2	1	chr3	90252162	90254162
6478	Mcpt1	1	chr14	56015970	56017970
6479	Zbtb34	-1	chr2	33431324	33433324
6480	Gltpd2	1	chr11	70517195	70519195
6481	Satb2	-1	chr1	56978650	56980650
6482	Il7	-1	chr3	7613760	7615760
6483	Gm48552	1	chr10	81387004	81389004
6484	Dohh	1	chr10	81382427	81384427
6485	Psmb6	1	chr11	70523366	70525366
6486	Gtpbp3	1	chr8	71486102	71488102
6487	Gm732	-1	chrX	107948465	107950465
6488	Tgfb3	-1	chr12	86079041	86081041
6489	Med14	-1	chrX	12762073	12764073
6490	Zyx	1	chr6	42347629	42349629
6491	Vamp9	1	chr5	99904253	99906253
6492	Stk40	1	chr4	126101956	126103956
6493	Fbxl6	-1	chr15	76538746	76540746
6494	Vegfa	-1	chr17	46032369	46034369
6495	Dipk1b	1	chr2	26626456	26628456
6496	Tsen2	1	chr6	115542663	115544663
6497	Tgm2	-1	chr2	158146436	158148436
6498	Eea1	1	chr10	95938649	95940649
6499	Spata20	-1	chr11	94486179	94488179
6500	Dnajb14	1	chr3	137865674	137867674
6501	Nudt18	1	chr14	70575636	70577636
6502	Prmt2	-1	chr10	76237865	76239865
6503	Ttll5	1	chr12	85822658	85824658
6504	Gm48551	1	chr10	81382465	81384465
6505	Btbd35f20	-1	chrX	4291245	4293245
6506	Capsl	1	chr15	9434027	9436027
6507	Htr1a	1	chr13	105441638	105443638
6508	Th	-1	chr7	142931128	142933128
6509	Atg16l2	-1	chr7	101302251	101304251
6510	Myh13	1	chr11	67319657	67321657
6511	Matk	1	chr10	81250934	81252934
6512	Ifi209	1	chr1	173628916	173630916
6513	Egfl7	1	chr2	26578013	26580013
6514	1700013G24Rik	1	chr4	137451283	137453283
6515	Wasf2	1	chr4	133128504	133130504
6516	9430069I07Rik	-1	chr15	34357872	34359872
6517	Nudt16	-1	chr9	105131824	105133824
6518	Atp1b1	-1	chr1	164458355	164460355
6519	Tmem50b	-1	chr16	91597800	91599800
6520	Cbln4	-1	chr2	172043466	172045466
6521	9530068E07Rik	1	chr11	52394427	52396427
6522	Pgp	1	chr17	24468391	24470391
6523	Mkrn2os	-1	chr6	115592576	115594576
6524	Pla2g10	-1	chr16	13730983	13732983
6525	Mmp9	1	chr2	164938779	164940779
6526	Acox2	-1	chr14	8259353	8261353
6527	Mcf2	-1	chrX	60179089	60181089
6528	Slc35e2	1	chr4	155599415	155601415
6529	Ifi208	1	chr1	173671674	173673674
6530	Plvap	-1	chr8	71511752	71513752
6531	Mc3r	1	chr2	172246491	172248491
6532	Nudt16l2	-1	chr9	105145092	105147092
6533	Tmem19	-1	chr10	115362501	115364501
6534	Iscu	1	chr5	113770747	113772747
6535	Kcnh8	1	chr17	52600708	52602708
6536	Slc22a3	-1	chr17	12507704	12509704
6537	Hyal1	1	chr9	107574926	107576926
6538	Lrrc42	-1	chr4	107253532	107255532
6539	Fam160b2	-1	chr14	70599835	70601835
6540	Slc12a3	1	chr8	94327200	94329200
6541	Wdr31	-1	chr4	62470896	62472896
6542	Tunar	1	chr12	105331869	105333869
6543	Raf1	-1	chr6	115676635	115678635
6544	Olfr917	-1	chr9	38665842	38667842
6545	Gpatch4	1	chr3	88041107	88043107
6546	Gzmm	1	chr10	79687019	79689019
6547	Btbd35f17	1	chrX	4368635	4370635
6548	Ampd1	1	chr3	103072013	103074013
6549	Hsf3	-1	chrX	96456294	96458294
6550	Zfp148	1	chr16	33378835	33380835
6551	Mtln	-1	chr2	127792488	127794488
6552	Ywhae	1	chr11	75730868	75732868
6553	Hyal3	1	chr9	107578817	107580817
6554	Smurf2	-1	chr11	106920715	106922715
6555	Ms4a10	-1	chr19	10974670	10976670
6556	Uxs1	-1	chr1	43827800	43829800
6557	Plg	1	chr17	12376607	12378607
6558	Apol7a	-1	chr15	77399110	77401110
6559	Mrpl58	1	chr11	115401751	115403751
6560	Naa80	1	chr9	107576886	107578886
6561	Fam210b	1	chr2	172343564	172345564
6562	Kcnn1	-1	chr8	70863258	70865258
6563	Rps3	-1	chr7	99483738	99485738
6564	Rprd1b	1	chr2	158026496	158028496
6565	Ifi35	1	chr11	101446406	101448406
6566	Aurka	-1	chr2	172370535	172372535
6567	Vmn2r73	-1	chr7	85876266	85878266
6568	Plxnb3	1	chrX	73755089	73757089
6569	Smc3	1	chr19	53598397	53600397
6570	Aste1	1	chr9	105393391	105395391
6571	Olfr94	-1	chr17	37200994	37202994
6572	Sp7	-1	chr15	102367182	102369182
6573	Heph	1	chrX	96453358	96455358
6574	Hmbox1	-1	chr14	64949871	64951871
6575	Olfr918	-1	chr9	38674601	38676601
6576	Olfr95	-1	chr17	37213118	37215118
6577	Epn3	-1	chr11	94499974	94501974
6578	Olfr919	-1	chr9	38703673	38705673
6579	Vmn2r21	-1	chr6	123533406	123535406
6580	Sp1	1	chr15	102404142	102406142
6581	Olfr96	1	chr17	37218145	37220145
6582	Mtmr14	1	chr6	113235842	113237842
6583	Vmn2r22	-1	chr6	123650725	123652725
6584	Arhgdia	-1	chr11	120581624	120583624
6585	Acot12	1	chr13	91739511	91741511
6586	Vmn2r23	1	chr6	123700669	123702669
6587	Tmem145	1	chr7	25304105	25306105
6588	Hmgn1	-1	chr16	96127729	96129729
6589	Slc8b1	1	chr5	120509167	120511167
6590	Slc52a2	1	chr15	76536831	76538831
6591	Plk2	1	chr13	110393045	110395045
6592	A930007A09Rik	1	chr16	13752565	13754565
6593	Cldn4	-1	chr5	134946934	134948934
6594	Ifrd2	1	chr9	107585641	107587641
6595	Adgrd1	1	chr5	129094749	129096749
6596	Xaf1	1	chr11	72299628	72301628
6597	Trp63	1	chr16	25681762	25683762
6598	Ier5	-1	chr1	155099636	155101636
6599	Pik3c2b	1	chr1	133043666	133045666
6600	Tex55	-1	chr16	38828749	38830749
6601	Mr1	-1	chr1	155146814	155148814
6602	Col4a3bp	1	chr13	96540617	96542617
6603	4930404H24Rik	1	chr2	153490789	153492789
6604	Ctrc	-1	chr4	141846359	141848359
6605	Bub1	-1	chr2	127831865	127833865
6606	Nol4l	-1	chr2	153529971	153531971
6607	Utp14a	1	chrX	48254861	48256861
6608	Nek11	-1	chr9	105395524	105397524
6609	Zbtb43	-1	chr2	33468559	33470559
6610	Ssbp2	1	chr13	91458282	91460282
6611	Rapgef2	-1	chr3	79286517	79288517
6612	D430019H16Rik	1	chr12	105451855	105453855
6613	Cldn3	1	chr5	134984213	134986213
6614	Antxr1	-1	chr6	87335821	87337821
6615	Bdkrb2	1	chr12	105561225	105563225
6616	Srm	1	chr4	148589502	148591502
6617	Casp9	1	chr4	141791611	141793611
6618	Kcne2	1	chr16	92290388	92292388
6619	Ccdc194	-1	chr8	71525711	71527711
6620	Ptprt	-1	chr2	162661147	162663147
6621	Ppm1f	1	chr16	16894468	16896468
6622	Gabbr2	-1	chr4	46991873	46993873
6623	Vmn2r18	-1	chr5	151606021	151608021
6624	Kcnh7	-1	chr2	63184287	63186287
6625	Bst2	-1	chr8	71537456	71539456
6626	Brwd3	-1	chrX	108834372	108836372
6627	Ascl2	-1	chr7	142969264	142971264
6628	Rerg	-1	chr6	137170497	137172497
6629	Tuft1	-1	chr3	94658872	94660872
6630	Bdkrb1	1	chr12	105601084	105603084
6631	Mkrn2	1	chr6	115599901	115601901
6632	Rps10	-1	chr17	27636669	27638669
6633	Bsg	1	chr10	79702490	79704490
6634	Arhgap22	1	chr14	33212025	33214025
6635	Igsf11	1	chr16	38890670	38892670
6636	Mcpt9	-1	chr14	56030495	56032495
6637	Hmces	1	chr6	87911934	87913934
6638	Lsmem2	-1	chr9	107597075	107599075
6639	Gca	1	chr2	62662284	62664284
6640	Amhr2	1	chr15	102443366	102445366
6641	Olfr97	-1	chr17	37237330	37239330
6642	Ces1e	-1	chr8	93229619	93231619
6643	Ifi207	-1	chr1	173741747	173743747
6644	Ms4a15	-1	chr19	10993250	10995250
6645	Dnajc28	-1	chr16	91619026	91621026
6646	Cela2a	-1	chr4	141826160	141828160
6647	Tmem232	-1	chr17	65540782	65542782
6648	Rxrb	1	chr17	34029811	34031811
6649	Atp2c1	-1	chr9	105527319	105529319
6650	Rab11fip1	-1	chr8	27174646	27176646
6651	Olfr98	-1	chr17	37263749	37265749
6652	Stard8	1	chrX	99001247	99003247
6653	Efhb	-1	chr17	53463321	53465321
6654	Gart	-1	chr16	91646952	91648952
6655	Alyref	-1	chr11	120598365	120600365
6656	Abhd11	1	chr5	135007151	135009151
6657	Acad10	-1	chr5	121660514	121662514
6658	Ilrun	-1	chr17	27820648	27822648
6659	Cops4	1	chr5	100516308	100518308
6660	Ggta1	-1	chr2	35463231	35465231
6661	Spink5	1	chr18	43961234	43963234
6662	Copg1	1	chr6	87885813	87887813
6663	Abcc10	-1	chr17	46328352	46330352
6664	Prr13	1	chr15	102457027	102459027
6665	Gm2244	-1	chr14	19549963	19551963
6666	Acat2	-1	chr17	12960747	12962747
6667	Carmil3	1	chr14	55488650	55490650
6668	H2-M3	1	chr17	37268219	37270219
6669	Tank	1	chr2	61576584	61578584
6670	Tspan32	1	chr7	143003045	143005045
6671	Lamtor3	1	chr3	137916505	137918505
6672	Plxnc1	-1	chr10	94944835	94946835
6673	Stk32c	-1	chr7	139213307	139215307
6674	Ubl4b	-1	chr3	107555073	107557073
6675	Kiz	1	chr2	146853863	146855863
6676	Cstf1	1	chr2	172368680	172370680
6677	Oxt	1	chr2	130574172	130576172
6678	Ice1	-1	chr13	70637634	70639634
6679	Oaf	-1	chr9	43239911	43241911
6680	Wsb2	1	chr5	117355303	117357303
6681	Abcd4	-1	chr12	84617413	84619413
6682	Sema3b	-1	chr9	107609229	107611229
6683	Scamp5	-1	chr9	57468060	57470060
6684	Dpy19l2	-1	chr9	24696293	24698293
6685	Dcbld1	1	chr10	52231618	52233618
6686	Alx3	1	chr3	107593030	107595030
6687	Eva1b	1	chr4	126145743	126147743
6688	Calcb	1	chr7	114716642	114718642
6689	Anapc11	1	chr11	120596420	120598420
6690	Kcnj4	-1	chr15	79505241	79507241
6691	Anks1	1	chr17	27907305	27909305
6692	Fgfrl1	1	chr5	108690381	108692381
6693	Fcgr4	1	chr1	171016919	171018919
6694	Lrrc27	1	chr7	139210987	139212987
6695	Abhd17b	1	chr19	21651184	21653184
6696	Gm40193	-1	chr11	70532939	70534939
6697	Ms4a18	-1	chr19	11018031	11020031
6698	Rfc5	-1	chr5	117389047	117391047
6699	Gm28036	-1	chr2	156127092	156129092
6700	Ints7	1	chr1	191573635	191575635
6701	Gm17266	-1	chr18	84836716	84838716
6702	Gm2237	-1	chr14	19585135	19587135
6703	Olfr99	-1	chr17	37283460	37285460
6704	Olfr1385	1	chr11	49487069	49489069
6705	Smlr1	-1	chr10	25536267	25538267
6706	Cypt4	1	chr9	24623195	24625195
6707	Ccdc124	-1	chr8	70873935	70875935
6708	Gm5458	-1	chr14	19602581	19604581
6709	Arntl	1	chr7	113205464	113207464
6710	Mcpt2	1	chr14	56040040	56042040
6711	Olfr1384	1	chr11	49504723	49506723
6712	Apoa4	1	chr9	46238695	46240695
6713	Avp	-1	chr2	130582554	130584554
6714	Dennd2c	1	chr3	103100603	103102603
6715	Inpp4a	1	chr1	37297864	37299864
6716	Bbs7	-1	chr3	36613477	36615477
6717	Txn1	-1	chr4	57956411	57958411
6718	Pdrg1	-1	chr2	153015427	153017427
6719	Ccdc163	1	chr4	116706508	116708508
6720	Rtf2	1	chr2	172438555	172440555
6721	Tenm2	-1	chr11	37235964	37237964
6722	Wtap	-1	chr17	12994169	12996169
6723	H3f3b	-1	chr11	116027962	116029962
6724	Olfr1383	1	chr11	49517647	49519647
6725	Fstl4	1	chr11	52762633	52764633
6726	Stum	-1	chr1	180483504	180485504
6727	Pnpla7	1	chr2	24974032	24976032
6728	Romo1	1	chr2	156142038	156144038
6729	Zfp974	-1	chr7	27929460	27931460
6730	Vash2	-1	chr1	190979296	190981296
6731	Mcpt4	-1	chr14	56062313	56064313
6732	Ces3b	1	chr8	105081752	105083752
6733	Disp1	-1	chr1	183221522	183223522
6734	Wwp2	1	chr8	107434364	107436364
6735	Myh14	-1	chr7	44670843	44672843
6736	Actbl2	1	chr13	111253012	111255012
6737	E130309D02Rik	-1	chr5	143315360	143317360
6738	Olfr1382	1	chr11	49526246	49528246
6739	Pnkp	1	chr7	44855138	44857138
6740	Ticam1	-1	chr17	56276786	56278786
6741	Tom1	1	chr8	75031704	75033704
6742	Gcnt7	-1	chr2	172458596	172460596
6743	Mrps18a	1	chr17	46108985	46110985
6744	Plin3	-1	chr17	56292873	56294873
6745	Fbn2	-1	chr18	58210487	58212487
6746	Anks6	-1	chr4	47057427	47059427
6747	Cass4	1	chr2	172391793	172393793
6748	Mcur1	-1	chr13	43560191	43562191
6749	Ptpro	1	chr6	137250318	137252318
6750	Samd11	-1	chr4	156255657	156257657
6751	Stx6	1	chr1	155156714	155158714
6752	G6pdx	-1	chrX	74429194	74431194
6753	Ebf2	1	chr14	67231291	67233291
6754	Tesk2	1	chr4	116718947	116720947
6755	Evi2a	-1	chr11	79530609	79532609
6756	Pinx1	1	chr14	63858363	63860363
6757	Arrdc5	-1	chr17	56300286	56302286
6758	Rsph9	-1	chr17	46144216	46146216
6759	Gpr3	-1	chr4	133212536	133214536
6760	Omg	-1	chr11	79504084	79506084
6761	Cd164l2	1	chr4	133210130	133212130
6762	Bspry	1	chr4	62478052	62480052
6763	Evi2b	-1	chr11	79523762	79525762
6764	Ms4a8a	-1	chr19	11081102	11083102
6765	Ces1f	-1	chr8	93279747	93281747
6766	Efnb1	1	chrX	99134129	99136129
6767	Sox7	1	chr14	63941672	63943672
6768	Nf1	1	chr11	79337692	79339692
6769	Txn2	-1	chr15	77929006	77931006
6770	Flvcr1	-1	chr1	191026158	191028158
6771	Ikbkg	1	chrX	74391289	74393289
6772	Noc2l	1	chr4	156233918	156235918
6773	Fcgr3	-1	chr1	171064935	171066935
6774	Vwa5a	1	chr9	38716267	38718267
6775	Bag2	-1	chr1	33757795	33759795
6776	Gm49333	1	chr16	20609609	20611609
6777	Klra3	-1	chr6	130337574	130339574
6778	4930568D16Rik	-1	chr2	35367729	35369729
6779	Plppr4	-1	chr3	117360876	117362876
6780	Stard13	-1	chr5	151233836	151235836
6781	Elovl6	1	chr3	129530354	129532354
6782	Zfand5	1	chr19	21270277	21272277
6783	Trcg1	1	chr9	57234555	57236555
6784	Hmgn2	-1	chr4	133968650	133970650
6785	Klra10	-1	chr6	130281928	130283928
6786	Tbcd	1	chr11	121449948	121451948
6787	Dst	1	chr1	33906224	33908224
6788	Lrg1	-1	chr17	56122001	56124001
6789	Gm49398	-1	chr13	61288839	61290839
