	gene	str	chr	promoter_start	promoter_end
4295	IQCD	-1	chr15	11055778	11057778
4296	PPP4R3A	-1	chr5	44579829	44581829
4297		1	chr27	3967400	3969400
4298		-1	chr21	5294686	5296686
4299	PLK1	1	chr14	7294561	7296561
4300		1	chr27	3962383	3964383
4301	UBXN2B	1	chr2	111986155	111988155
4302	GIN1	1	chrZ	50106929	50108929
4303	MEIG1	1	chr1	8001806	8003806
4304	SLC4A3	-1	chr7	22026477	22028477
4305	CYBB	-1	chr1	114478974	114480974
4306	CACNB3	1	chr33	3390701	3392701
4307		-1	chr1	60130980	60132980
4308	CTNNAL1	1	chr2	88489626	88491626
4309	HNRNPDL	1	chr4	46400175	46402175
4310		1	chr4	9502322	9504322
4311	IQCJ	-1	chr9	22501127	22503127
4312	BAIAP2L2	1	chr1	50997515	50999515
4313		-1	chr21	5273140	5275140
4314	HNRNPR	1	chr23	1660540	1662540
4315	FOXJ2	-1	chr1	75504709	75506709
4316	DYNLT3	1	chr1	114438913	114440913
4317	ITGB1	1	chr2	14055885	14057885
4318		-1	chr5	18570650	18572650
4319	DRD5	-1	chr4	78491401	78493401
4320	TPR	1	chr8	10835333	10837333
4321	TENT5D	-1	chr4	9496535	9498535
4322	TTK	-1	chr3	79232930	79234930
4323	FAM110B	1	chr2	111901413	111903413
4324		-1	chr21	5268430	5270430
4325	ITGA2B	1	chr27	3939849	3941849
4326	GBP	-1	chr12	2709494	2711494
4327	LAMA5	-1	chr20	7910579	7912579
4328		1	chr23	1654007	1656007
4329	DNAH8	-1	chr3	29619293	29621293
4330		-1	chr5	18477104	18479104
4331	DCLRE1C	-1	chr1	8003663	8005663
4332	PITPNA	-1	chr19	5450009	5452009
4333	TMX4	1	chr3	14721402	14723402
4334	INAVA	-1	chr26	1143486	1145486
4335	ENOPH1	-1	chr4	46402835	46404835
4336	BPNT2	-1	chr2	111601427	111603427
4337	SYTL5	-1	chr1	114397787	114399787
4338	SLC2A9	1	chr4	78381024	78383024
4339	DCTN5	1	chr14	7286978	7288978
4340		1	chr4	9424823	9426823
4341	ADCY6	-1	chr33	3389497	3391497
4342		-1	chr21	5263537	5265537
4343	PENK	-1	chr2	111384344	111386344
4344	OSBP2	-1	chr15	11046721	11048721
4345		-1	chr2	111362925	111364925
4346	DNAJC8	-1	chr23	1655758	1657758
4347	SUV39H2	1	chr1	7981062	7983062
4348	C1orf158	-1	chr21	5258665	5260665
4349		-1	chr7	21996451	21998451
4350	BCKDHB	-1	chr3	79163325	79165325
4351	AK1	1	chr17	5246226	5248226
4352	CCNT1	-1	chr33	3370670	3372670
4353		1	chr4	9408035	9410035
4354	LRRC38	1	chr21	5218769	5220769
4355	NECAP1	-1	chr1	75455190	75457190
4356	INPP5K	-1	chr19	5424636	5426636
4357	PALB2	-1	chr14	7288943	7290943
4358	RTN4R	1	chr15	10621517	10623517
4359	NRP1	1	chr2	13895934	13897934
4360	GPATCH8	1	chr27	3909371	3911371
4361	TMEM150C	1	chr4	46377728	46379728
4362	PTAFR	-1	chr23	1636790	1638790
4363		1	chr4	9381204	9383204
4364	CCDC88C	-1	chr5	44535237	44537237
4365	OCM	-1	chr14	1429348	1431348
4366	SORBS2	-1	chr4	61239973	61241973
4367		-1	chr21	5204441	5206441
4368	TMEM170A	1	chr11	2030091	2032091
4369	NDUFAB1	-1	chr14	7279266	7281266
4370	FAM46A	1	chr3	78458985	78460985
4371		-1	chr15	10406063	10408063
4372	SDR16C5	-1	chr2	111320818	111322818
4373	PLA2G6	1	chr1	50977470	50979470
4374	KANSL2	-1	chr33	3362288	3364288
4375	FZD2	-1	chr27	3905793	3907793
4376	SCARF2	-1	chr15	10395241	10397241
4377	SCD5	1	chr4	46359292	46361292
4378	POLR3A	1	chr6	14004541	14006541
4379		-1	chr12	2704153	2706153
4380		1	chr2	111282525	111284525
4381	SH3BGRL	-1	chr4	9373476	9375476
4382	PRDM2	-1	chr21	5166706	5168706
4383	LARP1	-1	chr13	12803848	12805848
4384	ST6GALNAC4	1	chr17	5239786	5241786
4385		-1	chr33	3350343	3352343
4386	SRPX	1	chr1	114300895	114302895
4387	SHANK2	-1	chr5	18393764	18395764
4388		1	chr1	171809131	171811131
4389	C8H1orf27	-1	chr8	10837430	10839430
4390	PLAG1	-1	chr2	111284428	111286428
4391		-1	chr33	3345949	3347949
4392	FAM18B1	1	chr18	2246817	2248817
4393		1	chr13	18522936	18524936
4394	PABPN1L	-1	chr11	18520626	18522626
4395		-1	chr21	5113478	5115478
4396	CFDP1	-1	chr11	2031846	2033846
4397	DGCR6	-1	chr15	10376611	10378611
4398		-1	chr4	9341547	9343547
4399	TNRC6A	1	chr14	7239376	7241376
4400		-1	chr9	22447957	22449957
4401	MOS	-1	chr2	111224811	111226811
4402	SLC7A4	-1	chr15	10366678	10368678
4403	GRAMD2B	-1	chrZ	79205381	79207381
4404	SHISA4	-1	chr26	1139505	1141505
4405	SMARCC2	1	chr33	7005291	7007291
4406	LMOD1	1	chr26	1121453	1123453
4407	XAF1	-1	chr19	9922595	9924595
4408	SATB1	-1	chr2	35241163	35243163
4409		1	chr18	2234410	2236410
4410	ADAM9	1	chr22	2735379	2737379
4411		1	chr25	2148062	2150062
4412		-1	chr5	18178276	18180276
4413	BCAR1	-1	chr11	1978777	1980777
4414	HSPA14	1	chr1	7968727	7970727
4415	MAFF	-1	chr1	50979138	50981138
4416	GPR68	-1	chr5	44441557	44443557
4417	ADRM1	1	chr20	7821883	7823883
4418		-1	chr27	3898705	3900705
4419	RPS20	-1	chr2	111207110	111209110
4420	CTRB2	1	chr11	1967778	1969778
4421	CDK5R1	-1	chr27	3890766	3892766
4422	TMBIM6	1	chr33	3335501	3337501
4423	PDC	1	chr8	10794012	10796012
4424	RPGR	1	chr1	114232011	114234011
4425	WSCD1	1	chr19	9781480	9783480
4426	ELP2	-1	chr2	88439989	88441989
4427	NASP	1	chr8	21526402	21528402
4428		-1	chr11	1968747	1970747
4429		1	chr17	5239068	5241068
4430	PPIP5K2	-1	chrZ	50100505	50102505
4431	WDR1	1	chr4	78302218	78304218
4432	TIMM17B	-1	chr26	1120743	1122743
4433	TMEM184B	1	chr1	50948319	50950319
4434		-1	chr4	9332151	9334151
4435	LRRC74B	1	chr15	10353091	10355091
4436	IL12A	-1	chr9	22416411	22418411
4437	ZNRF1	1	chr11	1948399	1950399
4438		-1	chr4	9296473	9298473
4439		1	chr25	2098995	2100995
4440	ARHGAP44	-1	chr18	2231061	2233061
4441		-1	chr1	171799117	171801117
4442	ZNF518B	-1	chr4	78254035	78256035
4443	CSNK1E	1	chr1	50925994	50927994
4444	FAM107B	-1	chr1	7888297	7890297
4445	TLN1	1	chrZ	9170856	9172856
4446	POU3F4	-1	chr4	9064635	9066635
4447		-1	chr2	88094811	88096811
4448	HPD	-1	chr15	5999533	6001533
4449	PLCB1	-1	chr3	14672677	14674677
4450	THSD1	1	chr1	171762490	171764490
4451	FKBP4	-1	chr1	75413553	75415553
4452		1	chr4	78232947	78234947
4453	IBTK	1	chr3	78259638	78261638
4454	DCAF1	-1	chr12	2691882	2693882
4455		1	chr1	50907162	50909162
4456		1	chr9	22399774	22401774
4457	FMNL3	-1	chr33	3337279	3339279
4458	MYO1C	-1	chr19	5403539	5405539
4459		-1	chr2	111199494	111201494
4460	OTC	-1	chr1	114232333	114234333
4461	RBBP6	1	chr14	7170488	7172488
4462	DPM2	1	chr17	5231789	5233789
4463	KCNJ4	1	chr1	50903907	50905907
4464	HS3ST1	1	chr4	78031713	78033713
4465	MACIR	-1	chrZ	50045272	50047272
4466	VPS36	1	chr1	171732631	171734631
4467	PHACTR1	-1	chr2	62532964	62534964
4468	KDELR3	-1	chr1	50902317	50904317
4469	ATG101	1	chr33	3312754	3314754
4470	MYO1D	1	chr27	3815961	3817961
4471		-1	chr1	7480699	7482699
4472	RBM15B	1	chr12	2633118	2635118
4473		-1	chr1	114163628	114165628
4474	TLN2	-1	chr10	4798157	4800157
4475	TPBG	-1	chr3	78231573	78233573
4476		1	chrZ	49980404	49982404
4477	NR4A1	1	chr33	3306220	3308220
4478	RPS6KA6	1	chr4	8984671	8986671
4479	MID1IP1	-1	chr1	114047548	114049548
4480	FRMD4A	-1	chr1	7438493	7440493
4481		1	chrZ	49964951	49966951
4482	WDR59	-1	chr11	1949555	1951555
4483	RNF114	-1	chr20	13801015	13803015
4484	RNF41	1	chr33	6995853	6997853
4485	EYA3	-1	chr23	1627539	1629539
4486	ITFG2	-1	chr1	75394716	75396716
4487	MANF	1	chr12	2629003	2631003
4488		1	chr19	5338046	5340046
4489	LYN	1	chr2	111132282	111134282
4490	DDX17	1	chr1	50875654	50877654
4491	FAXDC2	1	chr13	12743889	12745889
4492	CACNG3	1	chr14	7137994	7139994
4493	PTGS2	1	chr8	10711266	10713266
4494	RAB28	1	chr4	77440947	77442947
4495	TAMALIN	1	chr33	3295684	3297684
4496	DMC1	1	chr1	50863019	50865019
4497	DGLUCY	1	chr5	44379603	44381603
4498	NUDT12	1	chrZ	49942418	49944418
4499	CREB3	-1	chrZ	9172144	9174144
4500	BCOR	1	chr1	113669429	113671429
4501	XKR8	1	chr23	1577848	1579848
4502	TM2D2	-1	chr22	2733379	2735379
4503	DNMT1	1	chr30	991797	993797
4504	CKAP2	-1	chr1	171734808	171736808
4505	FAM102A	1	chr17	5199838	5201838
4506		-1	chrZ	49555593	49557593
4507	USP43	1	chr18	2200452	2202452
4508	NELL1	1	chr5	2459636	2461636
4509		1	chr25	2085628	2087628
4510	UBE3D	1	chr3	77997440	77999440
4511	CNTRL	1	chr17	8641904	8643904
4512	TRNT1	1	chr12	18504273	18506273
4513	RPS24	-1	chr6	14015668	14017668
4514		1	chrZ	49318098	49320098
4515	CBY1	-1	chr1	50849565	50851565
4516	SMPDL3B	1	chr23	1572040	1574040
4517	HDX	1	chr4	8924897	8926897
4518		-1	chrZ	49070538	49072538
4519	TGS1	1	chr2	111082379	111084379
4520	PRKCB	1	chr14	7055347	7057347
4521	NKX3-2	1	chr4	77419792	77421792
4522	NAIF1	1	chr17	5190530	5192530
4523	FOXM1	1	chr1	75330031	75332031
4524	ACVR1B	1	chr33	3277532	3279532
4525	YWHAE	1	chr19	5328956	5330956
4526	TOMM22	-1	chr1	50847064	50849064
4527	CNOT8	-1	chr13	12745824	12747824
4528	AVD	1	chrZ	9162658	9164658
4529	AQP8	1	chr14	7035717	7037717
4530		-1	chr19	9722490	9724490
4531	EIF2B4	1	chr3	104435574	104437574
4532	EFNA5	1	chrZ	48129379	48131379
4533		1	chr1	7382176	7384176
4534	JOSD1	1	chr1	50833272	50835272
4535		-1	chr2	111051679	111053679
4536	LY75	1	chr7	21880267	21882267
4537	CRK	1	chr19	5310373	5312373
4538		1	chrZ	9150591	9152591
4539		1	chr4	77380522	77382522
4540	RHNO1	-1	chr1	75331844	75333844
4541	MAP3K14	-1	chr27	3809775	3811775
4542	IFT80	1	chr9	22345522	22347522
4543	TMEM68	-1	chr2	111029857	111031857
4544	ACVRL1	1	chr33	3270216	3272216
4545	GEMIN5	1	chr13	12718691	12720691
4546	ATP6AP2	-1	chr1	113587894	113589894
4547	TBC1D7	1	chr2	62214172	62216172
4548	NEK3	-1	chr1	171724935	171726935
4549	XKR4	1	chr2	110758620	110760620
4550	CTTN	1	chr5	18138180	18140180
4551	ANKRD33	1	chr33	3262422	3264422
4552	ZMIZ1	-1	chr6	13389295	13391295
4553	SLC25A25	-1	chr17	5181671	5183671
4554	FBXL17	1	chrZ	47770332	47772332
4555	RPA2	-1	chr23	1573848	1575848
4556	BEND7	-1	chr1	7372660	7374660
4557	FIGNL2	-1	chr33	3234142	3236142
4558	NCBP3	-1	chr19	5308527	5310527
4559		1	chr2	110701911	110703911
4560	GABBR2	1	chr2	87908968	87910968
4561	BECN1	-1	chr27	7879971	7881971
4562	GTPBP1	-1	chr1	50834079	50836079
4563	GFOD1	1	chr2	62134945	62136945
4564	AVR2	1	chrZ	9147009	9149009
4565		-1	chr33	3220907	3222907
4566	MRPL22	-1	chr13	12720801	12722801
4567	THEMIS2	1	chr23	1562115	1564115
4568	LCMT1	1	chr14	7012705	7014705
4569		-1	chr4	8906442	8908442
4570	P2RX6	-1	chr15	10356368	10358368
4571	RPS6KA5	-1	chr5	44380668	44382668
4572	TULP3	-1	chr1	75327340	75329340
4573	SGCD	-1	chr13	12420212	12422212
4574		1	chr4	77368798	77370798
4575	PPIF	-1	chr6	13103157	13105157
4576	NEK5	-1	chr1	171713462	171715462
4577	ORM1	1	chr17	5158791	5160791
4578	FER	-1	chrZ	47681655	47683655
4579	MED14	1	chr1	113498609	113500609
4580	SUN2	1	chr1	50807248	50809248
4581	S1PR2	1	chr30	979647	981647
4582	SHTN1	-1	chr6	29990736	29992736
4583	ALDH7A1	1	chrZ	79144008	79146008
4584	TBC1D5	-1	chr2	34954644	34956644
4585	SNAI1	-1	chr20	13793622	13795622
4586	PPP1R8	1	chr23	1534771	1536771
4587	ZCCHC24	1	chr6	12968501	12970501
4588		1	chr2	62110882	62112882
4589	DOCK3	1	chr12	2358794	2360794
4590	DOP1A	-1	chr3	77992089	77994089
4591	SEPHS2L	-1	chr1	7311282	7313282
4592		1	chr2	110573596	110575596
4593		-1	chrZ	9146416	9148416
4594	PPFIA1	1	chr5	18087359	18089359
4595	SMC4	-1	chr9	22345248	22347248
4596		1	chr1	50802146	50804146
4597	LRRC75A	1	chr19	5232531	5234531
4598		1	chr6	12884666	12886666
4599		-1	chr4	77017890	77019890
4600	ALG11	1	chr1	171680350	171682350
4601	APOOL	-1	chr4	8732413	8734413
4602	STX12	1	chr23	1522209	1524209
4603		1	chr6	12877853	12879853
4604	PLA2R1	1	chr7	21826488	21828488
4605		1	chrZ	47446938	47448938
4606		1	chr1	50800357	50802357
4607	SCN8A	1	chr33	3180573	3182573
4608	PARD3	1	chr2	13145628	13147628
4609	TRAPPC2L	1	chr11	18512746	18514746
4610	PCOLCE	-1	chr30	973293	975293
4611	ARHGAP17	-1	chr14	7014564	7016564
4612	FADD	1	chr5	18064745	18066745
4613		-1	chr6	12743460	12745460
4614		-1	chr4	8712457	8714457
4615		1	chrZ	9134598	9136598
4616	SEC31A	1	chr4	46322922	46324922
4617	TMEM248	1	chr19	5208557	5210557
4618	GLP1R	-1	chr3	29492850	29494850
4619	OSBPL2	1	chr20	7791103	7793103
4620	FMNL1	1	chr27	3773309	3775309
4621	TRIM59	1	chr9	22299096	22301096
4622	KAZN	-1	chr21	5020062	5022062
4623	DNAL4	1	chr1	50793053	50795053
4624	PAK1IP1	1	chr2	62098859	62100859
4625		1	chr23	1514301	1516301
4626	ITGB6	1	chr7	21791548	21793548
4627	SOX17	1	chr2	110515252	110517252
4628		-1	chr1	113456709	113458709
4629	ZNF711	-1	chr4	8699226	8701226
4630	METTL7A	-1	chr33	3168701	3170701
4631	H2AFY2	-1	chr6	12748414	12750414
4632	C2H6orf52	-1	chr2	62100297	62102297
4633	ATP7B	-1	chr1	171674156	171676156
4634	MRPL15	1	chr2	110378890	110380890
4635	GBA2	1	chrZ	9124063	9126063
4636		-1	chr33	3165510	3167510
4637	MAN2A1	-1	chrZ	47357106	47359106
4638		1	chr14	6954911	6956911
4639	NPTXR	1	chr1	50784322	50786322
4640	POF1B	1	chr4	8655029	8657029
4641	CITED4	1	chr23	1504532	1506532
4642	AIFM3	1	chr15	10327428	10329428
4643	RPL8	1	chr1	113368871	113370871
4644	FA2H	-1	chr11	1901853	1903853
4645	PHYH	-1	chr1	7281113	7283113
4646	NUP153	-1	chr2	62086207	62088207
4647		1	chr19	5179548	5181548
4648	KPNA4	1	chr9	22274440	22276440
4649		-1	chr1	171610947	171612947
4650	CBX6	1	chr1	50768185	50770185
4651	LYPLA1	-1	chr2	110378439	110380439
4652	AIFM2	1	chr6	12692307	12694307
4653		-1	chr33	2975032	2977032
4654		1	chr3	29406936	29408936
4655		1	chr17	5029760	5031760
4656	FAM8A1	1	chr2	62030428	62032428
4657	ARL14	1	chr9	22257517	22259517
4658		-1	chr1	171579572	171581572
4659	B3GALNT1	-1	chr9	22257167	22259167
4660	MAPKAPK3	1	chr12	2271247	2273247
4661	RGP1	-1	chrZ	9126065	9128065
4662	KCNK5	1	chr3	29308780	29310780
4663	ADIPOR1	1	chr26	1104025	1106025
4664	FEM1C	-1	chrZ	79130913	79132913
4665		1	chr2	62027851	62029851
4666	PPM1L	1	chr9	22147857	22149857
4667	CBX7	1	chr1	50750534	50752534
4668		1	chr33	2966221	2968221
4669	KCTD7	1	chr19	5169752	5171752
4670	KCNK17	1	chr3	29214510	29216510
4671	RBMS1	1	chr7	21624534	21626534
4672		1	chr1	7247015	7249015
4673	MSMP	1	chrZ	9111970	9113970
4674		1	chr27	3762702	3764702
4675	CHST3	1	chr6	12681536	12683536
4676		-1	chr4	46324483	46326483
4677	CPEB2	-1	chr4	76880121	76882121
4678	SLC25A46	-1	chrZ	46922477	46924477
4679	CAP2	1	chr2	61958516	61960516
4680		1	chr33	2934957	2936957
4681	THAP9	-1	chr4	46324671	46326671
4682		-1	chr9	22149734	22151734
4683	TMEM51	-1	chr21	4962579	4964579
4684	KCNK16	1	chr3	29202411	29204411
4685	MEGF9	-1	chr17	4951990	4953990
4686	PGM3	1	chr3	77923880	77925880
4687	CISH	-1	chr12	2268470	2270470
4688	TTC7B	-1	chr5	44303460	44305460
4689		-1	chr17	4938124	4940124
4690		-1	chr15	10321910	10323910
4691	LIN54	1	chr4	46277853	46279853
4692		-1	chr21	4953458	4955458
4693	ANO1	1	chr5	17979908	17981908
4694	PLA2G4A	-1	chr8	10684950	10686950
4695	RBM24	1	chr2	61919862	61921862
4696	NPR2	-1	chrZ	9106881	9108881
4697	MLKL	-1	chr11	1890948	1892948
4698	PDGFB	1	chr1	50718145	50720145
4699		-1	chr21	4940088	4942088
4700	WDR36	-1	chrZ	46841797	46843797
4701	NMD3	1	chr9	22121903	22123903
4702	C1QTNF7	-1	chr4	76779005	76781005
4703	TCEA1	-1	chr2	110362086	110364086
4704		1	chr33	2918706	2920706
4705		-1	chr17	4932479	4934479
4706	HEXIM1	1	chr27	3750625	3752625
4707	RWDD2A	-1	chr3	77925855	77927855
4708		1	chrZ	46617675	46619675
4709		-1	chr33	2862532	2864532
4710	EFHD2	-1	chr21	4936536	4938536
4711	ATXN1	-1	chr2	61650422	61652422
4712	FGF3	-1	chr5	17877619	17879619
4713	HRH3	-1	chr20	7779087	7781087
4714	HEMK1	1	chr12	2171268	2173268
4715		1	chrZ	9090400	9092400
4716		1	chr18	2172401	2174401
4717		-1	chr30	967992	969992
4718		-1	chr25	2086546	2088546
4719	GALNT12	1	chr2	87856630	87858630
4720	CTPS1	-1	chr23	1381926	1383926
4721	WDFY2	1	chr1	171474436	171476436
4722		-1	chr1	50695619	50697619
4723		1	chr27	3747425	3749425
4724	AOX1	1	chr7	11194755	11196755
4725	MEPCE	1	chr30	941945	943945
4726	SNX17	-1	chr3	104436337	104438337
4727		-1	chr25	2077297	2079297
4728	PLEKHA2	1	chr22	2717079	2719079
4729	CNTD1	1	chr27	7868891	7870891
4730		-1	chr33	2792202	2794202
4731	SLC5A11	1	chr14	6942707	6944707
4732	RFWD3	-1	chr11	1885632	1887632
4733	SETD1A	1	chr15	5936523	5938523
4734	ACTL6B	1	chr30	935707	937707
4735	SLC6A5	1	chr5	2425181	2427181
4736	ENO4	1	chr6	29915121	29917121
4737	UBE2V1	1	chr20	13736003	13738003
4738	CTRC	-1	chr21	4933495	4935495
4739	ZNF513	1	chr3	104424655	104426655
4740	SRGAP1	1	chr1	33558542	33560542
4741		1	chr27	7863805	7865805
4742	AKR1A1	1	chr8	21506991	21508991
4743	EBAG9	1	chr2	132560851	132562851
4744	CCZ1	-1	chr14	1422508	1424508
4745	MTG2	1	chr20	7755150	7757150
4746	KLHL2	1	chr4	23812565	23814565
4747	PLCL2	1	chr2	34517721	34519721
4748	DDX49	-1	chr28	3824430	3826430
4749		-1	chr5	2387408	2389408
4750		1	chr7	11180554	11182554
4751	CAMK4	-1	chrZ	46782893	46784893
4752	SPTSSB	1	chr9	22102676	22104676
4753	TAF1C	1	chrZ	9085723	9087723
4754	KIF6	1	chr3	29055895	29057895
4755	COPS4	-1	chr4	46280009	46282009
4756	CALM1	1	chr5	44060714	44062714
4757	FGF4	-1	chr5	17845980	17847980
4758		-1	chr33	2768794	2770794
4759	RGS20	1	chr2	110312101	110314101
4760	MCM10	1	chr1	7246737	7248737
4761	TANK	-1	chr7	21480464	21482464
4762	C3orf18	-1	chr12	2173206	2175206
4763		-1	chr33	2767601	2769601
4764	CASP9	1	chr21	4922612	4924612
4765		1	chr22	2712256	2714256
4766	ANKS6	-1	chr2	87849912	87851912
4767		-1	chr30	936028	938028
4768	SS18L1	1	chr20	7739771	7741771
4769	TEAD4	-1	chr1	75286457	75288457
4770	FGF19	-1	chr5	17818546	17820546
4771	GMPR2	1	chr2	61524462	61526462
4772		1	chr33	2764359	2766359
4773		-1	chr8	10598304	10600304
4774	DDX3X	-1	chr1	113346140	113348140
4775	TMEM8B	-1	chrZ	9084664	9086664
4776	PLCD3	-1	chr27	3749198	3751198
4777	TPST1	1	chr19	5109090	5111090
4778		-1	chr33	2705090	2707090
4779		-1	chr8	9925637	9927637
4780	OTOL1	-1	chr9	22092254	22094254
4781	INTS6	-1	chr1	171459449	171461449
4782	NRDE2	-1	chr5	44036319	44038319
4783		1	chr8	9864178	9866178
4784	UBE2T	1	chr26	1097145	1099145
4785		-1	chr3	104426261	104428261
4786		-1	chr17	4892148	4894148
4787		-1	chr33	2681118	2683118
4788	SCMH1	1	chr23	1342050	1344050
4789	CHM	1	chr4	8556091	8558091
4790		1	chr33	2669129	2671129
4791		-1	chrZ	9071860	9073860
4792	CUL2	1	chr2	13052989	13054989
4793	NYX	-1	chr1	113303342	113305342
4794		1	chr8	8898689	8900689
4795	PSMA7	-1	chr20	7741495	7743495
4796	NMT1	1	chr27	3726836	3728836
4797	KCTD18	-1	chr7	11181067	11183067
4798		1	chr30	917592	919592
4799	MYLIP	1	chr2	61477710	61479710
4800	PSMC1	1	chr5	43999307	44001307
4801	SERPINE3	1	chr1	171396868	171398868
4802	DNAJC16	-1	chr21	4924567	4926567
4803	ATP6V1H	-1	chr2	110289554	110291554
4804		1	chr27	7856437	7858437
4805	SIPA1L1	-1	chr5	27244842	27246842
4806	CC2D2A	-1	chr4	76735809	76737809
4807	RPL3	1	chr1	50689559	50691559
4808	HSPA12A	-1	chr6	29879088	29881088
4809	GALNS	-1	chr11	18514508	18516508
4810	STARD4	1	chrZ	46592961	46594961
4811		1	chr33	2611785	2613785
4812	GPR34	-1	chr1	113202575	113204575
4813		1	chr14	1401045	1403045
4814		-1	chr30	916326	918326
4815		-1	chr2	87384769	87386769
4816	JAK2	1	chrZ	27530086	27532086
4817	GLG1	-1	chr11	1860794	1862794
4818	FOXO6	-1	chr23	1319424	1321424
4819	VPS25	1	chr27	7849804	7851804
4820	RHOF	-1	chr15	5923066	5925066
4821	PDLIM3	-1	chr4	61084516	61086516
4822	IRX1	1	chr2	87107991	87109991
4823	FAM124A	1	chr1	171334926	171336926
4824		-1	chr33	2556119	2558119
4825	KCNK13	1	chr5	43915282	43917282
4826	IL5RA	-1	chr12	18503711	18505711
4827	C5	-1	chr17	8642257	8644257
4828		1	chr30	905174	907174
4829	NDUFB7	-1	chr30	904843	906843
4830	LSM14B	1	chr20	7719896	7721896
4831	PSAP	-1	chr6	12673270	12675270
4832	GPR82	-1	chr1	113189961	113191961
4833	DCAKD	-1	chr27	3728829	3730829
4834	LARS1	-1	chr13	18524347	18526347
4835		-1	chr25	2062669	2064669
4836	EDN2	1	chr23	1061329	1063329
4837		-1	chr33	2540641	2542641
4838		1	chr1	75162583	75164583
4839	BRINP1	-1	chr17	4436723	4438723
4840	OPRK1	-1	chr2	110165360	110167360
4841	POLE	-1	chr15	10312463	10314463
4842	NREP	1	chrZ	46523373	46525373
4843	PSMD14	-1	chr7	21422146	21424146
4844		-1	chr33	2524387	2526387
4845	SYNGR1	-1	chr1	50687741	50689741
4846	TMEM189	1	chr20	13714783	13716783
4847	NABP2	-1	chr33	7000389	7002389
4848	ENY2	1	chr2	132545319	132547319
4849	PNLIPRP1	1	chr6	29802112	29804112
4850	APELA	1	chr4	23779599	23781599
4851	PPM1G	1	chr3	104401224	104403224
4852	TAF4	-1	chr20	7708555	7710555
4853	ARHGAP24	-1	chr4	46215503	46217503
4854	C1QL1	-1	chr27	3716130	3718130
4855	AGMAT	1	chr21	4910754	4912754
4856	TPM1	-1	chr10	4636539	4638539
4857		1	chr33	2499724	2501724
4858	PDPR	-1	chr11	1801364	1803364
4859	IRX2	-1	chr2	86612432	86614432
4860	NUDCD1	-1	chr2	132547557	132549557
4861	TIMD4	1	chr13	12170826	12172826
4862	HIVEP3	1	chr23	917639	919639
4863	DTNBP1	-1	chr2	61340803	61342803
4864	ORAOV1	-1	chr5	17811445	17813445
4865	NPBWR1	1	chr2	110082485	110084485
4866		1	chr33	2462942	2464942
4867	P2RX2	1	chr15	10286888	10288888
4868	DAAM2	-1	chr3	29039975	29041975
4869	CACNA2D2	-1	chr12	2001509	2003509
4870	TBR1	-1	chr7	21373226	21375226
4871	PINK1	1	chr21	4903098	4905098
4872	CD72AG	-1	chrZ	9069155	9071155
4873	ME1	1	chr3	77762329	77764329
4874	RNASEH2B	1	chr1	171218976	171220976
4875		1	chr33	2412675	2414675
4876		1	chr9	21314358	21316358
4877	TLR4	1	chr17	3936811	3938811
4878	TSPAN9	-1	chr1	75199031	75201031
4879		-1	chr6	12647593	12649593
4880	FBXL5	1	chr4	76653649	76655649
4881	FAM43B	-1	chr21	4898298	4900298
4882		-1	chr33	2525578	2527578
4883	BRINP3	1	chr8	8614646	8616646
4884		1	chr15	10281136	10283136
4885	KIF18B	-1	chr27	3711099	3713099
4886	ST3GAL2	1	chr11	1774441	1776441
4887	TAB1	-1	chr1	50668685	50670685
4888	SLITRK3	1	chr9	21271429	21273429
4889	EPB41L4A	1	chrZ	46270435	46272435
4890	CCND1	1	chr5	17776655	17778655
4891		-1	chr33	2352979	2354979
4892		1	chr15	10277182	10279182
4893	TMEM115	-1	chr12	1871561	1873561
4894	DACH2	-1	chr4	8541470	8543470
4895	MOCS1	1	chr3	28807405	28809405
4896		1	chr17	3919692	3921692
4897	CYB561D2	1	chr12	1865279	1867279
4898		1	chr33	2344251	2346251
4899	KCNRG	1	chr1	170695167	170697167
4900	CRCP	1	chr19	5106133	5108133
4901		-1	chr1	75040418	75042418
4902	MED7	1	chr13	12157619	12159619
4903	SELENOM	-1	chr15	10278627	10280627
4904		-1	chr6	12626469	12628469
4905	PRSS35	-1	chr3	77729607	77731607
4906		1	chr28	3788232	3790232
4907	TMEM5	1	chr1	33513303	33515303
4908		1	chr33	2317923	2319923
4909		-1	chr11	1778544	1780544
4910	LRFN2	1	chr3	28346990	28348990
4911		-1	chr33	2307783	2309783
4912	CDA	1	chr21	4893881	4895881
4913	CEBPB	-1	chr20	13709555	13711555
4914		-1	chr26	1098705	1100705
4915		1	chr1	75010618	75012618
4916	MGAT3	-1	chr1	50645593	50647593
4917	TRIM13	1	chr1	170688518	170690518
4918		1	chr30	879051	881051
4919	CNTN4	1	chr12	18228669	18230669
4920	GFAP	-1	chr27	3702163	3704163
4921	PMS2	1	chr14	1380542	1382542
4922	KIF23	1	chr10	19772819	19774819
4923	SH3RF2	1	chr13	18476204	18478204
4924	RBM8A	1	chr25	1985362	1987362
4925		-1	chr1	50620712	50622712
4926	OPTN	1	chr1	7223802	7225802
4927		1	chr5	17367383	17369383
4928	FAM187A	1	chr27	3693484	3695484
4929	BST1	-1	chr4	76652266	76654266
4930	MUL1	-1	chr21	4895817	4897817
