Gene name	Human gene name	Human homology type	Human orthology confidence [0 low, 1 high]
Tpcn2	AP003071.5	ortholog_one2many	0
Tpcn2	TPCN2	ortholog_one2many	0
Serac1	SERAC1	ortholog_one2one	1
Cyb5r4	CYB5R4	ortholog_one2one	1
Scg5	SCG5	ortholog_one2one	1
Panx3	PANX3	ortholog_one2one	1
Gm3448	TCTE3	ortholog_one2many	1
Spaar	SPAAR	ortholog_one2one	1
Tmem40	TMEM40	ortholog_one2one	1
Scn9a	SCN9A	ortholog_one2one	1
Gm49333	EEF1AKMT4-ECE2	ortholog_one2many	1
Pcyox1	PCYOX1	ortholog_one2one	1
Ankrd46	ANKRD46	ortholog_one2one	1
Gm45618	KRTAP4-8	ortholog_many2many	0
Gm45618	KRTAP4-9	ortholog_many2many	0
Gm45618	KRTAP4-11	ortholog_many2many	0
Gm45618	KRTAP4-16	ortholog_many2many	0
Gm45618	KRTAP4-4	ortholog_many2many	0
Gm45618	KRTAP10-6	ortholog_many2many	0
Gm45618	KRTAP10-9	ortholog_many2many	0
Gm45618	KRTAP9-6	ortholog_many2many	0
Gm45618	KRTAP9-9	ortholog_many2many	0
Gm45618	KRTAP9-3	ortholog_many2many	0
Gm45618	KRTAP9-2	ortholog_many2many	0
Gm45618	KRTAP9-8	ortholog_many2many	0
Gm45618	KRTAP9-7	ortholog_many2many	0
Gm45618	KRTAP9-4	ortholog_many2many	0
Gm45618	KRTAP4-2	ortholog_many2many	0
Gm45618	KRTAP4-1	ortholog_many2many	0
Gm45618	KRTAP10-1	ortholog_many2many	0
Gm45618	KRTAP10-3	ortholog_many2many	0
Gm45618	KRTAP10-5	ortholog_many2many	0
Gm45618	KRTAP9-1	ortholog_many2many	0
Gm45618	KRTAP10-4	ortholog_many2many	0
Gm45618	KRTAP10-11	ortholog_many2many	0
Gm45618	KRTAP2-1	ortholog_many2many	0
Gm45618	KRTAP2-2	ortholog_many2many	0
Gm45618	KRTAP2-4	ortholog_many2many	0
Gm45618	KRTAP2-3	ortholog_many2many	0
Gm45618	KRTAP4-5	ortholog_many2many	0
Otulin	OTULIN	ortholog_one2one	1
Olfr160	OR8A1	ortholog_one2many	1
Dusp8	DUSP8	ortholog_one2one	1
Pax1	PAX1	ortholog_one2one	1
Stim2	STIM2	ortholog_one2one	1
Cdc7	CDC7	ortholog_one2one	1
Trhde	TRHDE	ortholog_one2one	1
Ank	ANKH	ortholog_one2one	1
Gm14698	STYX	ortholog_one2many	0
Rhof	RHOF	ortholog_one2one	1
Crkl	CRKL	ortholog_one2one	1
Ncstn	NCSTN	ortholog_one2one	1
Ptgr1	PTGR1	ortholog_one2one	1
Arpc3	ARPC3	ortholog_one2one	1
Oma1	OMA1	ortholog_one2one	1
Atp1a3	ATP1A3	ortholog_one2many	1
Atp1a3	AC010616.1	ortholog_one2many	1
Usp5	USP5	ortholog_one2one	1
Gm49354	TUT7	ortholog_one2many	0
Isca1	ISCA1	ortholog_one2many	1
Il2ra	IL2RA	ortholog_one2one	1
Arhgap32	ARHGAP32	ortholog_one2one	1
Qprt	QPRT	ortholog_one2one	1
Atl2	ATL2	ortholog_one2one	1
Tmem120b	TMEM120B	ortholog_one2one	1
Gyg	GYG1	ortholog_one2one	1
Nsun5	NSUN5	ortholog_one2one	1
Olfr832	OR7G3	ortholog_one2many	0
Slc4a3	SLC4A3	ortholog_one2one	1
Spn	SPN	ortholog_one2one	0
Tut7	TUT7	ortholog_one2many	1
Iba57	IBA57	ortholog_one2one	1
Tagln2	TAGLN2	ortholog_one2one	1
Olfr834	OR7G3	ortholog_one2many	1
Elac2	ELAC2	ortholog_one2one	1
Nodal	NODAL	ortholog_one2one	1
Sh3yl1	SH3YL1	ortholog_one2one	1
Rab11fip1	RAB11FIP1	ortholog_one2one	1
Gjc2	GJC2	ortholog_one2one	1
Kremen1	KREMEN1	ortholog_one2one	1
Pkn2	PKN2	ortholog_one2one	1
Sspo	SSPO	ortholog_one2one	1
Bmper	BMPER	ortholog_one2one	1
Eif4ebp2	EIF4EBP2	ortholog_one2one	1
Pom121	POM121C	ortholog_one2many	1
Pom121	POM121	ortholog_one2many	1
Slc17a3	SLC17A3	ortholog_one2one	1
4922502D21Rik	KLRC3	ortholog_many2many	0
4922502D21Rik	AC068775.1	ortholog_many2many	0
4922502D21Rik	KLRC2	ortholog_many2many	0
4922502D21Rik	KLRC4	ortholog_many2many	0
4922502D21Rik	KLRC4-KLRK1	ortholog_many2many	0
4922502D21Rik	KLRC1	ortholog_many2many	0
Mrap2	MRAP2	ortholog_one2one	1
Zscan2	ZSCAN2	ortholog_one2one	1
Slc25a4	SLC25A4	ortholog_one2one	1
Aarsd1	AARSD1	ortholog_many2many	1
Aarsd1	PTGES3L-AARSD1	ortholog_many2many	1
Clip3	CLIP3	ortholog_one2one	1
Olfr1039	OR5AL1	ortholog_one2many	0
Ext2	EXT2	ortholog_one2one	1
Tdrp	TDRP	ortholog_one2one	1
Nol9	NOL9	ortholog_one2one	1
Spidr	SPIDR	ortholog_one2one	1
Hnrnpll	HNRNPLL	ortholog_one2one	1
Ercc4	ERCC4	ortholog_one2one	1
Lifr	LIFR	ortholog_one2one	1
Dexi	DEXI	ortholog_one2one	1
Olfr110	OR5V1	ortholog_one2many	1
Ptgds	AL807752.7	ortholog_one2many	1
Ptgds	PTGDS	ortholog_one2many	1
Camk2n2	CAMK2N2	ortholog_one2one	1
Rnf14	RNF14	ortholog_one2one	1
Spag7	SPAG7	ortholog_one2one	1
Rundc1	RUNDC1	ortholog_one2one	1
Hs3st6	HS3ST6	ortholog_one2one	1
Ttf2	TTF2	ortholog_one2one	1
Gpr3	GPR3	ortholog_one2one	1
Arfgap1	ARFGAP1	ortholog_one2one	1
Mtnr1a	MTNR1A	ortholog_one2one	1
App	APP	ortholog_one2one	1
Cd164l2	CD164L2	ortholog_one2one	1
Masp2	MASP2	ortholog_one2one	1
Lrrc20	LRRC20	ortholog_one2one	1
Ptges3l	PTGES3L	ortholog_one2one	1
Ivns1abp	IVNS1ABP	ortholog_one2one	1
Kif13b	KIF13B	ortholog_one2one	1
Gan	GAN	ortholog_one2one	1
Fasn	FASN	ortholog_one2one	1
Idh1	IDH1	ortholog_one2one	1
Mex3a	MEX3A	ortholog_one2one	1
Tmprss11f	TMPRSS11F	ortholog_one2one	1
Pcdh7	PCDH7	ortholog_one2one	1
Rab25	RAB25	ortholog_one2one	1
Olfr1040	OR5AL1	ortholog_one2many	0
Per2	PER2	ortholog_one2one	1
Abhd16b	ABHD16B	ortholog_one2one	1
Mrpl54	MRPL54	ortholog_one2one	1
Galm	GALM	ortholog_one2one	1
Kcns2	KCNS2	ortholog_one2one	1
Prdm8	PRDM8	ortholog_one2one	1
Elmod1	ELMOD1	ortholog_one2one	1
Arhgap11a	ARHGAP11A	ortholog_one2one	1
Gm27029	AARSD1	ortholog_many2many	1
Gm27029	PTGES3L-AARSD1	ortholog_many2many	1
Cdca3	CDCA3	ortholog_one2one	1
Cebpd	CEBPD	ortholog_one2one	1
Cox16	COX16	ortholog_one2one	1
Sugp2	SUGP2	ortholog_one2one	1
Rnf44	RNF44	ortholog_one2one	1
Trim7	TRIM7	ortholog_one2one	1
Erich1	ERICH1	ortholog_one2one	0
Mrpl45	MRPL45	ortholog_one2one	1
Cep162	CEP162	ortholog_one2one	1
Ankef1	ANKEF1	ortholog_one2one	1
Ola1	OLA1	ortholog_one2one	1
Golgb1	GOLGB1	ortholog_one2one	1
Olfr874	OR8B12	ortholog_one2many	1
Prmt9	PRMT9	ortholog_one2one	1
Pik3c3	PIK3C3	ortholog_one2one	1
Alx4	ALX4	ortholog_one2one	1
Gm12184	CDK2AP1	ortholog_one2many	0
Rybp	RYBP	ortholog_one2one	1
Slc18a3	SLC18A3	ortholog_one2one	1
Trps1	TRPS1	ortholog_one2one	1
Chat	CHAT	ortholog_one2one	1
Gpr6	GPR6	ortholog_one2one	1
Igfn1	IGFN1	ortholog_one2one	0
Arhgap44	ARHGAP44	ortholog_one2one	1
Rab5if	TGIF2-RAB5IF	ortholog_one2one	1
Psmd4	PSMD4	ortholog_one2one	1
Vsig2	VSIG2	ortholog_one2one	1
Aff2	AFF2	ortholog_one2one	1
Olfml1	OLFML1	ortholog_one2one	0
Sla2	SLA2	ortholog_one2one	1
Olfr875	OR8B12	ortholog_one2many	1
Srsf7	SRSF7	ortholog_one2one	1
Eef1aknmt	EEF1AKNMT	ortholog_one2one	1
Tnfaip8l3	TNFAIP8L3	ortholog_one2one	1
Poli	POLI	ortholog_one2one	1
BC051019	C11orf16	ortholog_one2one	1
Trim24	TRIM24	ortholog_one2one	1
Armc6	ARMC6	ortholog_one2one	1
Rbbp8	RBBP8	ortholog_one2one	1
Cyp4f13	CYP4F8	ortholog_one2many	0
Synj2bp	SYNJ2BP	ortholog_one2one	1
Kif20b	KIF20B	ortholog_one2one	1
Prmt5	PRMT5	ortholog_one2one	1
Akip1	AKIP1	ortholog_one2one	1
Olfr1219	OR4C15	ortholog_one2many	0
Irgm1	IRGM	ortholog_one2many	0
Snta1	SNTA1	ortholog_one2one	1
Sftpd	SFTPD	ortholog_one2one	1
Glt8d2	GLT8D2	ortholog_one2one	1
Gm20498	SYNJ2BP-COX16	ortholog_one2one	1
Rps6	RPS6	ortholog_one2one	1
Pcyt2	PCYT2	ortholog_one2one	1
Psmd2	PSMD2	ortholog_one2one	1
Mgat3	MGAT3	ortholog_one2one	1
Pxmp2	PXMP2	ortholog_one2one	1
Cd38	CD38	ortholog_one2one	1
Ifrd1	IFRD1	ortholog_one2one	1
Pdk3	PDK3	ortholog_one2one	1
Pgam5	PGAM5	ortholog_one2one	1
Nisch	NISCH	ortholog_one2one	1
Clcn3	CLCN3	ortholog_one2one	1
Eif3m	EIF3M	ortholog_one2one	1
Cfap58	CFAP58	ortholog_one2one	1
Tdg	TDG	ortholog_one2one	1
Ascl3	ASCL3	ortholog_one2one	1
Cmip	CMIP	ortholog_one2one	1
Sept3	SEPTIN3	ortholog_one2one	0
Hmox1	HMOX1	ortholog_one2one	1
Helt	HELT	ortholog_one2one	1
Lamtor2	LAMTOR2	ortholog_one2one	1
Guk1	GUK1	ortholog_one2one	1
Kansl2	KANSL2	ortholog_one2one	1
Slc7a10	SLC7A10	ortholog_one2one	1
Csrnp3	CSRNP3	ortholog_one2one	1
Olfr765	OR2AP1	ortholog_one2many	1
Clec12a	CLEC12A	ortholog_one2one	0
Tbx18	TBX18	ortholog_one2one	1
Klhl4	KLHL4	ortholog_one2one	1
Gm6133	RPL17-C18orf32	ortholog_one2one	0
Olfr767	OR2AP1	ortholog_one2many	0
Slc14a2	SLC14A2	ortholog_one2one	1
Apba3	APBA3	ortholog_one2one	1
Trpc3	TRPC3	ortholog_one2one	1
Meiob	MEIOB	ortholog_one2one	1
Ccdc73	CCDC73	ortholog_one2one	1
Fgf5	FGF5	ortholog_one2one	1
Gemin6	GEMIN6	ortholog_one2one	1
Gm39115	KRTAP5-8	ortholog_many2many	0
Gm39115	KRTAP5-6	ortholog_many2many	0
Mboat1	MBOAT1	ortholog_one2one	1
Rad21l	RAD21L1	ortholog_one2one	1
Fig4	FIG4	ortholog_one2one	1
Nt5e	NT5E	ortholog_one2one	1
Cfap299	CFAP299	ortholog_one2one	1
Lrp3	LRP3	ortholog_one2one	1
Eed	EED	ortholog_one2one	1
Bsx	BSX	ortholog_one2one	1
Sgsm2	SGSM2	ortholog_one2one	1
Tjp3	TJP3	ortholog_one2one	1
Jhy	JHY	ortholog_one2one	1
Rpl27	RPL27	ortholog_one2one	1
Npffr1	NPFFR1	ortholog_one2one	1
Pcbp3	PCBP3	ortholog_one2one	1
Mfsd6	MFSD6	ortholog_one2one	1
Pidd1	PIDD1	ortholog_one2one	1
Acer2	ACER2	ortholog_one2one	1
Gas2l2	GAS2L2	ortholog_one2one	1
Fbxo15	FBXO15	ortholog_one2one	1
Morn2	MORN2	ortholog_one2one	1
Rxrg	RXRG	ortholog_one2one	1
Mbp	MBP	ortholog_one2one	1
Dhx57	DHX57	ortholog_one2one	1
Gabpb1	GABPB1	ortholog_one2one	1
Maco1	MACO1	ortholog_one2one	1
Krtap9-5	KRTAP9-1	ortholog_many2many	0
Timm21	TIMM21	ortholog_one2one	1
Sorcs3	SORCS3	ortholog_one2one	1
Gm45337	KRTAP5-8	ortholog_many2many	0
Gm45337	KRTAP5-6	ortholog_many2many	0
Ifi35	IFI35	ortholog_one2one	1
Gm29735	KRTAP5-5	ortholog_many2many	0
Gm29735	KRTAP5-2	ortholog_many2many	0
Gm4553	KRTAP5-5	ortholog_many2many	0
Gm4553	KRTAP5-2	ortholog_many2many	0
Hrc	HRC	ortholog_one2one	1
Bbs1	AP002748.5	ortholog_one2many	1
Bbs1	BBS1	ortholog_one2many	1
Krtap5-2	KRTAP4-8	ortholog_many2many	0
Krtap5-2	KRTAP4-9	ortholog_many2many	0
Krtap5-2	KRTAP4-11	ortholog_many2many	0
Krtap5-2	KRTAP4-16	ortholog_many2many	0
Krtap5-2	KRTAP4-4	ortholog_many2many	0
Krtap5-2	KRTAP10-6	ortholog_many2many	0
Krtap5-2	KRTAP10-9	ortholog_many2many	0
Krtap5-2	KRTAP9-6	ortholog_many2many	0
Krtap5-2	KRTAP9-9	ortholog_many2many	0
Krtap5-2	KRTAP9-3	ortholog_many2many	0
Krtap5-2	KRTAP9-2	ortholog_many2many	0
Krtap5-2	KRTAP9-8	ortholog_many2many	0
Krtap5-2	KRTAP9-7	ortholog_many2many	0
Krtap5-2	KRTAP9-4	ortholog_many2many	0
Krtap5-2	KRTAP4-2	ortholog_many2many	0
Krtap5-2	KRTAP4-1	ortholog_many2many	0
Krtap5-2	KRTAP10-1	ortholog_many2many	0
Krtap5-2	KRTAP10-3	ortholog_many2many	0
Krtap5-2	KRTAP10-5	ortholog_many2many	0
Krtap5-2	KRTAP9-1	ortholog_many2many	0
Krtap5-2	KRTAP10-4	ortholog_many2many	0
Krtap5-2	KRTAP10-11	ortholog_many2many	0
Krtap5-2	KRTAP2-1	ortholog_many2many	0
Krtap5-2	KRTAP2-2	ortholog_many2many	0
Krtap5-2	KRTAP2-4	ortholog_many2many	0
Krtap5-2	KRTAP2-3	ortholog_many2many	0
Krtap5-2	KRTAP4-5	ortholog_many2many	0
Raph1	RAPH1	ortholog_one2one	1
Gm10153	KRTAP29-1	ortholog_one2many	0
Shf	SHF	ortholog_one2one	1
AU015836	CHCHD4	ortholog_one2many	0
Tssk4	TSSK4	ortholog_one2one	1
Ift88	IFT88	ortholog_one2one	1
Rab17	RAB17	ortholog_one2one	1
Spx	SPX	ortholog_one2one	1
Acox2	ACOX2	ortholog_one2one	1
B4galnt4	B4GALNT4	ortholog_one2one	1
Haus4	HAUS4	ortholog_one2many	1
Haus4	AL132780.3	ortholog_one2many	0
Psme2b	PSME2	ortholog_one2many	0
Tmem184c	TMEM184C	ortholog_one2one	1
Esco2	ESCO2	ortholog_one2one	1
Pik3r4	PIK3R4	ortholog_one2one	1
Ubqln4	UBQLN4	ortholog_one2one	1
Tas1r3	TAS1R3	ortholog_one2one	1
Alkbh6	ALKBH6	ortholog_one2one	1
1700020L24Rik	C17orf50	ortholog_one2one	1
Dvl1	DVL1	ortholog_one2one	1
Ipo5	IPO5	ortholog_one2one	1
Mmp28	MMP28	ortholog_one2one	1
Sap18	SAP18	ortholog_one2many	1
Olfr984	OR4D5	ortholog_one2one	1
Stxbp6	STXBP6	ortholog_one2one	1
Olfr1042	OR5AL1	ortholog_one2many	0
Nbea	NBEA	ortholog_one2one	1
Dgkg	DGKG	ortholog_one2one	1
Wdr73	WDR73	ortholog_one2one	1
Smarca4	SMARCA4	ortholog_one2one	1
Pus1	PUS1	ortholog_one2one	1
Rarb	RARB	ortholog_one2one	1
Rhbdl1	RHBDL1	ortholog_one2one	1
Slc17a8	SLC17A8	ortholog_one2one	1
Olfr56	OR2V1	ortholog_one2many	1
Olfr56	OR2V2	ortholog_one2many	0
Lss	LSS	ortholog_one2one	1
Lpgat1	LPGAT1	ortholog_one2one	1
Ska3	SKA3	ortholog_one2one	1
Olfr1269	OR4X2	ortholog_one2many	1
Eif2b5	EIF2B5	ortholog_one2one	1
Clec12b	CLEC12B	ortholog_one2one	1
Megf10	MEGF10	ortholog_one2one	1
Kat8	KAT8	ortholog_one2one	1
Vsig8	VSIG8	ortholog_one2one	1
Ldb1	LDB1	ortholog_one2one	1
Ssr2	SSR2	ortholog_one2one	1
Nrgn	NRGN	ortholog_one2one	1
Rxra	RXRA	ortholog_one2one	1
Eif2s2	EIF2S2	ortholog_one2one	1
Top2b	TOP2B	ortholog_one2one	1
Rhot2	RHOT2	ortholog_one2many	1
Folh1	FOLH1	ortholog_one2one	1
Igsf9b	IGSF9B	ortholog_one2one	1
Cfap45	CFAP45	ortholog_one2one	1
Mcm5	MCM5	ortholog_one2one	1
Wdr13	WDR13	ortholog_one2one	1
Prss8	PRSS8	ortholog_one2one	1
Gm7579	KRTAP5-8	ortholog_many2many	0
Gm7579	KRTAP5-6	ortholog_many2many	0
Bmp3	BMP3	ortholog_one2one	1
Tpbgl	TPBGL	ortholog_one2one	1
Tmem74bos	C20orf202	ortholog_one2one	1
Zfp41	AC138696.1	ortholog_one2many	1
Zfp41	ZFP41	ortholog_one2many	1
Krtap5-5	KRTAP5-5	ortholog_many2many	0
Krtap5-5	KRTAP5-2	ortholog_many2many	0
Gpr179	GPR179	ortholog_one2one	1
Sos1	SOS1	ortholog_one2one	1
Gm40460	KRTAP4-8	ortholog_many2many	0
Gm40460	KRTAP4-9	ortholog_many2many	0
Gm40460	KRTAP4-11	ortholog_many2many	0
Gm40460	KRTAP4-16	ortholog_many2many	0
Gm40460	KRTAP4-4	ortholog_many2many	0
Gm40460	KRTAP10-6	ortholog_many2many	0
Gm40460	KRTAP10-9	ortholog_many2many	0
Gm40460	KRTAP9-6	ortholog_many2many	0
Gm40460	KRTAP9-9	ortholog_many2many	0
Gm40460	KRTAP9-3	ortholog_many2many	0
Gm40460	KRTAP9-2	ortholog_many2many	0
Gm40460	KRTAP9-8	ortholog_many2many	0
Gm40460	KRTAP9-7	ortholog_many2many	0
Gm40460	KRTAP9-4	ortholog_many2many	0
Gm40460	KRTAP4-2	ortholog_many2many	0
Gm40460	KRTAP4-1	ortholog_many2many	0
Gm40460	KRTAP10-1	ortholog_many2many	0
Gm40460	KRTAP10-3	ortholog_many2many	0
Gm40460	KRTAP10-5	ortholog_many2many	0
Gm40460	KRTAP9-1	ortholog_many2many	0
Gm40460	KRTAP10-4	ortholog_many2many	0
Gm40460	KRTAP10-11	ortholog_many2many	0
Gm40460	KRTAP2-1	ortholog_many2many	0
Gm40460	KRTAP2-2	ortholog_many2many	0
Gm40460	KRTAP2-4	ortholog_many2many	0
Gm40460	KRTAP2-3	ortholog_many2many	0
Gm40460	KRTAP4-5	ortholog_many2many	0
Foxa2	FOXA2	ortholog_one2one	1
Tmem74b	TMEM74B	ortholog_one2one	1
Epha4	EPHA4	ortholog_one2one	1
Srsf10	SRSF10	ortholog_one2one	1
Gm4559	KRTAP4-8	ortholog_many2many	0
Gm4559	KRTAP4-9	ortholog_many2many	0
Gm4559	KRTAP4-11	ortholog_many2many	0
Gm4559	KRTAP4-16	ortholog_many2many	0
Gm4559	KRTAP4-4	ortholog_many2many	0
Gm4559	KRTAP10-6	ortholog_many2many	0
Gm4559	KRTAP10-9	ortholog_many2many	0
Gm4559	KRTAP9-6	ortholog_many2many	0
Gm4559	KRTAP9-9	ortholog_many2many	0
Gm4559	KRTAP9-3	ortholog_many2many	0
Gm4559	KRTAP9-2	ortholog_many2many	0
Gm4559	KRTAP9-8	ortholog_many2many	0
Gm4559	KRTAP9-7	ortholog_many2many	0
Gm4559	KRTAP9-4	ortholog_many2many	0
Gm4559	KRTAP4-2	ortholog_many2many	0
Gm4559	KRTAP4-1	ortholog_many2many	0
Gm4559	KRTAP10-1	ortholog_many2many	0
Gm4559	KRTAP10-3	ortholog_many2many	0
Gm4559	KRTAP10-5	ortholog_many2many	0
Gm4559	KRTAP9-1	ortholog_many2many	0
Gm4559	KRTAP10-4	ortholog_many2many	0
Gm4559	KRTAP10-11	ortholog_many2many	0
Gm4559	KRTAP2-1	ortholog_many2many	0
Gm4559	KRTAP2-2	ortholog_many2many	0
Gm4559	KRTAP2-4	ortholog_many2many	0
Gm4559	KRTAP2-3	ortholog_many2many	0
Gm4559	KRTAP4-5	ortholog_many2many	0
Rtbdn	RTBDN	ortholog_one2one	0
Socs7	SOCS7	ortholog_one2one	1
Mrpl55	MRPL55	ortholog_one2one	1
Krtap5-1	KRTAP5-5	ortholog_many2many	1
Krtap5-1	KRTAP5-2	ortholog_many2many	0
Gnb3	GNB3	ortholog_one2one	1
F11	F11	ortholog_one2one	1
Krtap5-4	KRTAP5-5	ortholog_many2many	0
Krtap5-4	KRTAP5-2	ortholog_many2many	0
Otx2	OTX2	ortholog_one2one	1
Trpm3	TRPM3	ortholog_one2one	1
Gm14226	ERVW-1	ortholog_one2many	0
Rnd2	RND2	ortholog_one2one	1
Cyp19a1	CYP19A1	ortholog_one2one	1
Cops4	COPS4	ortholog_one2one	1
Pnldc1	PNLDC1	ortholog_one2one	1
Raly	RALY	ortholog_one2one	1
Trim36	TRIM36	ortholog_one2one	1
Amfr	AMFR	ortholog_one2one	1
Atg13	ATG13	ortholog_one2one	1
Zfp438	ZNF438	ortholog_one2one	1
Arhgef33	ARHGEF33	ortholog_one2one	1
Slc6a9	SLC6A9	ortholog_one2one	1
Pus7	PUS7	ortholog_one2one	1
Actc1	ACTC1	ortholog_one2one	1
Zfx	ZFY	ortholog_one2one	0
Olfr985	OR8D4	ortholog_one2one	1
Olfr648	OR52H1	ortholog_one2one	1
Ngb	NGB	ortholog_one2one	1
Gldn	GLDN	ortholog_one2one	1
Clptm1l	CLPTM1L	ortholog_one2one	1
Mab21l1	MAB21L1	ortholog_one2one	1
Vat1	VAT1	ortholog_one2one	1
Ankrd13c	ANKRD13C	ortholog_one2one	1
Gm4131	C13orf42	ortholog_one2one	1
Fat2	FAT2	ortholog_one2one	1
Barhl2	BARHL2	ortholog_one2one	1
Cdkl4	CDKL4	ortholog_one2one	1
Galnt3	GALNT3	ortholog_one2one	1
Fam124a	FAM124A	ortholog_one2one	1
Mertk	MERTK	ortholog_one2one	1
Cd101	CD101	ortholog_one2one	1
Olfr1220	OR4C15	ortholog_one2many	1
Neurog2	NEUROG2	ortholog_one2one	1
Olfr111	OR5V1	ortholog_one2many	1
Vps13a	VPS13A	ortholog_one2one	1
Tnnc1	TNNC1	ortholog_one2one	1
Agtr1a	AGTR1	ortholog_one2many	0
Ppa1	PPA1	ortholog_one2one	1
Rasd2	RASD2	ortholog_one2one	1
Tbcel	AP000646.1	ortholog_one2many	1
Tbcel	TBCEL	ortholog_one2many	1
Igdcc3	IGDCC3	ortholog_one2one	1
Snca	SNCA	ortholog_one2one	1
Olfr835	OR7G2	ortholog_one2many	0
Tubgcp5	TUBGCP5	ortholog_one2one	1
Mpc1	MPC1	ortholog_one2one	1
Sstr4	SSTR4	ortholog_one2one	1
Pdxp	PDXP	ortholog_one2one	1
Wdr90	WDR90	ortholog_one2one	1
Ythdc1	YTHDC1	ortholog_one2one	1
Zfp493	ZNF429	ortholog_many2many	0
Zfp493	ZNF519	ortholog_many2many	0
Zfp493	ZNF195	ortholog_many2many	0
Cd2bp2	CD2BP2	ortholog_one2one	1
Rpl38	RPL38	ortholog_one2one	1
Slco5a1	SLCO5A1	ortholog_one2one	1
Sh3bp1	Z83844.3	ortholog_one2many	1
Sh3bp1	SH3BP1	ortholog_one2many	1
Kcnj5	KCNJ5	ortholog_one2one	1
Map4k3	MAP4K3	ortholog_one2one	1
Gm49369	CTSD	ortholog_many2many	0
Gm49369	AC068580.4	ortholog_many2many	0
Lrp1b	LRP1B	ortholog_one2one	1
Zfp644	ZNF644	ortholog_one2one	1
Ifitm10	IFITM10	ortholog_one2one	1
Thbd	THBD	ortholog_one2one	1
Pprc1	PPRC1	ortholog_one2one	1
Fgf12	FGF12	ortholog_one2one	1
Gjd2	GJD2	ortholog_one2one	1
2310033P09Rik	C1orf35	ortholog_one2one	1
Fgfr3	FGFR3	ortholog_one2one	1
Erbin	ERBIN	ortholog_one2one	1
Tmem9b	TMEM9B	ortholog_one2one	1
Angpt1	ANGPT1	ortholog_one2one	1
Ctsd	CTSD	ortholog_many2many	1
Ctsd	AC068580.4	ortholog_many2many	1
Oasl1	OASL	ortholog_one2one	1
Sirt7	SIRT7	ortholog_one2one	1
Arf1	ARF1	ortholog_one2one	1
Samd4	SAMD4A	ortholog_one2one	1
Zfp273	ZNF429	ortholog_many2many	0
Zfp273	ZNF519	ortholog_many2many	0
Zfp273	ZNF195	ortholog_many2many	0
Tph2	TPH2	ortholog_one2one	1
Suds3	SUDS3	ortholog_one2one	1
Gm11639	EFCAB13	ortholog_one2one	0
Spatc1l	SPATC1L	ortholog_one2one	1
Fbxo33	FBXO33	ortholog_one2one	1
Gm7879	PPIH	ortholog_one2one	0
Sos2	SOS2	ortholog_one2one	1
Efcab3	EFCAB3	ortholog_one2one	1
Nudt21	NUDT21	ortholog_one2one	1
Tmem9	TMEM9	ortholog_one2one	1
Zeb1	ZEB1	ortholog_one2one	1
Tmem225	TMEM225	ortholog_one2one	0
Dctn6	DCTN6	ortholog_one2one	1
Mmrn1	MMRN1	ortholog_one2one	1
Nrip3	NRIP3	ortholog_one2one	1
Clock	CLOCK	ortholog_one2one	1
Banf2	BANF2	ortholog_one2one	1
Src	SRC	ortholog_one2one	1
Il17d	IL17D	ortholog_one2one	1
Tm2d2	TM2D2	ortholog_one2one	1
Max	MAX	ortholog_one2one	1
Setbp1	SETBP1	ortholog_one2one	1
Mb21d2	MB21D2	ortholog_one2one	1
Tmem178	TMEM178A	ortholog_one2one	1
Hsd17b3	HSD17B3	ortholog_one2one	1
Parp16	PARP16	ortholog_one2one	1
Cox7c	COX7C	ortholog_one2one	1
Cd28	CD28	ortholog_one2one	1
Arhgap23	ARHGAP23	ortholog_one2one	1
Cpxcr1	CPXCR1	ortholog_one2one	0
Mmp15	MMP15	ortholog_one2one	1
H2afb2	H2AFB3	ortholog_many2many	0
H2afb2	H2AFB2	ortholog_many2many	0
H2afb2	H2AFB1	ortholog_many2many	0
Nphp4	NPHP4	ortholog_one2one	1
Mrgprf	MRGPRF	ortholog_one2one	1
Cd1d1	CD1D	ortholog_one2many	1
Htr7	HTR7	ortholog_one2one	1
Tg	TG	ortholog_one2one	1
Flnb	FLNB	ortholog_one2one	1
Olfr986	OR6X1	ortholog_one2one	1
a	ASIP	ortholog_one2one	1
Sdsl	SDSL	ortholog_one2one	1
Mast3	MAST3	ortholog_one2one	1
Eif3d	EIF3D	ortholog_one2one	1
Mafg	MAFG	ortholog_one2one	1
Ppp3cc	PPP3CC	ortholog_one2one	1
B4galt2	B4GALT2	ortholog_one2one	1
Mrgprd	MRGPRD	ortholog_one2one	1
Sorcs1	SORCS1	ortholog_one2one	1
Gm20537	AL589666.1	ortholog_one2one	1
Plaat1	PLAAT1	ortholog_one2one	1
Eef1akmt1	EEF1AKMT1	ortholog_one2one	1
Syncrip	SYNCRIP	ortholog_one2one	1
4930430F08Rik	C12orf29	ortholog_one2one	1
Pggt1b	PGGT1B	ortholog_one2one	1
Pikfyve	PIKFYVE	ortholog_one2one	1
Odr4	ODR4	ortholog_one2one	1
Hip1	HIP1	ortholog_one2one	1
Ednra	EDNRA	ortholog_one2one	1
Ptgs1	PTGS1	ortholog_one2one	1
Sorbs3	SORBS3	ortholog_one2one	1
Micu1	MICU1	ortholog_one2one	1
Aifm3	AIFM3	ortholog_one2one	1
Ccdc188	CCDC188	ortholog_one2one	1
Ppard	PPARD	ortholog_one2one	1
