MGI Gene/Marker ID	Symbol	Name	Chr	Qualifier	Annotated Term	Context	Proteoform	Evidence	Inferred From	Reference(s)
MGI:107558	Sema3a	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3A	5		negative regulation of axon extension involved in axon guidance	regulates a function/process that happens in neuron		IDA		J:25500 	
MGI:107558	Sema3a	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3A	5		negative regulation of axon extension involved in axon guidance	regulates a function/process that happens in brain venous system,regulates a function/process that happens in neuron		IDA		J:49908 	
MGI:107558	Sema3a	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3A	5		negative regulation of axon extension involved in axon guidance	regulates a function/process that happens in cervical ganglion,regulates a function/process that happens in neuron|regulates a function/process that happens in dorsal root ganglion,regulates a function/process that happens in neuron		IGI	MGI:107683 	J:72426 	
MGI:107558	Sema3a	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3A	5		negative regulation of axon extension involved in axon guidance	regulates a function/process that happens in spinal cord,regulates a function/process that happens in afferent neuron		IGI	MGI:104518 MGI:96721 	J:137627 	
MGI:107558	Sema3a	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3A	5		regulation of axon extension involved in axon guidance			IDA		J:159069 	
MGI:107558	Sema3a	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3A	5		regulation of axon extension involved in axon guidance			ISO	Q14563 	J:164563 	
MGI:107561	Sema3b	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3B	9		negative regulation of axon extension involved in axon guidance			IBA	PTN000867340 	J:265628 	
MGI:107557	Sema3c	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3C	5		negative regulation of axon extension involved in axon guidance			IBA	PTN000867340 	J:265628 	
MGI:1860118	Sema3d	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3D	5		negative regulation of axon extension involved in axon guidance			IBA	PTN000867340 	J:265628 	
MGI:1340034	Sema3e	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3E	5		negative regulation of axon extension involved in axon guidance			IBA	PTN000867340 	J:265628 	
MGI:1096347	Sema3f	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3F	9		negative regulation of axon extension involved in axon guidance			IBA	PTN000867340 	J:265628 	
MGI:1096347	Sema3f	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3F	9		negative regulation of axon extension involved in axon guidance	regulates a function/process that happens in brain venous system,regulates a function/process that happens in neuron		IDA		J:49908 	
MGI:1096347	Sema3f	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3F	9		negative regulation of axon extension involved in axon guidance	regulates a function/process that happens in cervical ganglion,regulates a function/process that happens in neuron		IGI	MGI:107683 	J:72426 	
MGI:3041242	Sema3g	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3G	14		negative regulation of axon extension	happens in sympathetic nervous system		IDA		J:106852 	
MGI:3041242	Sema3g	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3G	14		negative regulation of axon extension involved in axon guidance			IBA	PTN000867340 	J:265628 	
MGI:107560	Sema4a	sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4A	3		negative regulation of axon extension involved in axon guidance			IBA	PTN000867340 	J:265628 	
MGI:107559	Sema4b	sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4B	7		negative regulation of axon extension involved in axon guidance			IBA	PTN000867340 	J:265628 	
MGI:109252	Sema4c	sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4C	1		negative regulation of axon extension involved in axon guidance			IBA	PTN000867340 	J:265628 	
MGI:109244	Sema4d	sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4D	13		negative regulation of axon extension involved in axon guidance			IBA	PTN000867340 	J:265628 	
MGI:109244	Sema4d	sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4D	13		positive regulation of collateral sprouting			ISO	Q92854 	J:164563 	
MGI:1340055	Sema4f	sema domain, immunoglobulin domain (Ig), TM domain, and short cytoplasmic domain	6		negative regulation of axon extension			ISO	Q9Z143 	J:53335 	
MGI:1340055	Sema4f	sema domain, immunoglobulin domain (Ig), TM domain, and short cytoplasmic domain	6		negative regulation of axon extension involved in axon guidance			IBA	PTN000867340 	J:265628 	
MGI:1347047	Sema4g	sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4G	19		negative regulation of axon extension involved in axon guidance			IBA	PTN000867340 	J:265628 	
MGI:107556	Sema5a	sema domain, seven thrombospondin repeats (type 1 and type 1-like), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 5A	15		negative regulation of axon extension involved in axon guidance			ISO	RGD:1308650 	J:155856 	
MGI:107556	Sema5a	sema domain, seven thrombospondin repeats (type 1 and type 1-like), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 5A	15		positive regulation of axon extension involved in axon guidance			ISO	RGD:1308650 	J:155856 	
MGI:1203727	Sema6a	sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6A	18		negative regulation of axon extension involved in axon guidance			IBA	PTN000867340 	J:265628 	
MGI:1202889	Sema6b	sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6B	17		negative regulation of axon extension involved in axon guidance			IBA	PTN000867340 	J:265628 	
MGI:1338032	Sema6c	sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6C	3		negative regulation of axon extension			ISO	Q9H3T2 	J:164563 	
MGI:1338032	Sema6c	sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6C	3		negative regulation of axon extension involved in axon guidance			IBA	PTN000867340 	J:265628 	
MGI:2387661	Sema6d	sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6D	2		negative regulation of axon extension			ISO	Q8NFY4 	J:164563 	
MGI:2387661	Sema6d	sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6D	2		negative regulation of axon extension involved in axon guidance			IBA	PTN000867340 	J:265628 	
MGI:1306826	Sema7a	sema domain, immunoglobulin domain (Ig), and GPI membrane anchor, (semaphorin) 7A	9		negative regulation of axon extension involved in axon guidance			IBA	PTN000867340 	J:265628 	
MGI:1306826	Sema7a	sema domain, immunoglobulin domain (Ig), and GPI membrane anchor, (semaphorin) 7A	9		positive regulation of axon extension			IBA	PTN002592905 	J:265628 	
MGI:1306826	Sema7a	sema domain, immunoglobulin domain (Ig), and GPI membrane anchor, (semaphorin) 7A	9		positive regulation of axon extension			IDA		J:87191 	
MGI:1306826	Sema7a	sema domain, immunoglobulin domain (Ig), and GPI membrane anchor, (semaphorin) 7A	9		positive regulation of axon extension			ISO	O75326 	J:164563 	
MGI:1930016	Shank3	SH3 and multiple ankyrin repeat domains 3	15		negative regulation of cell volume	happens in neural cell,happens in brain		IMP		J:171113 	
MGI:1918903	Shtn1	shootin 1	19		positive regulation of axon extension			ISO	RGD:1311558 	J:155856 	
MGI:95628	Slc6a12	solute carrier family 6 (neurotransmitter transporter, betaine/GABA), member 12	6		cellular water homeostasis			ISO	RGD:620255 	J:155856 	
MGI:1349482	Slc9a3r1	solute carrier family 9 (sodium/hydrogen exchanger), member 3 regulator 1	11		regulation of cell size			ISO	O14745 	J:164563 	
MGI:103150	Slc12a1	solute carrier family 12, member 1	2		cell volume homeostasis			IBA	PTN000214719 	J:265628 	
MGI:101924	Slc12a2	solute carrier family 12, member 2	18		cell volume homeostasis			IBA	PTN000214719 	J:265628 	
MGI:101924	Slc12a2	solute carrier family 12, member 2	18		positive regulation of cell volume			ISO	RGD:620809 	J:155856 	
MGI:108114	Slc12a3	solute carrier family 12, member 3	8		cell volume homeostasis			IBA	PTN000214719 	J:265628 	
MGI:1309465	Slc12a4	solute carrier family 12, member 4	8		cell volume homeostasis			IBA	PTN000214719 	J:265628 	
MGI:1862037	Slc12a5	solute carrier family 12, member 5	2		cell volume homeostasis			IBA	PTN000214719 	J:265628 	
MGI:2135960	Slc12a6	solute carrier family 12, member 6	2		cell volume homeostasis			IBA	PTN000214719 	J:265628 	
MGI:1342283	Slc12a7	solute carrier family 12, member 7	13		cell volume homeostasis			IBA	PTN000214719 	J:265628 	
MGI:1342283	Slc12a7	solute carrier family 12, member 7	13		cell volume homeostasis			ISO	RGD:1359672 	J:155856 	
MGI:2443672	Slc12a8	solute carrier family 12 (potassium/chloride transporters), member 8	16		cell volume homeostasis			IBA	PTN000214719 	J:265628 	
MGI:1933532	Slc12a9	solute carrier family 12 (potassium/chloride transporters), member 9	5		cell volume homeostasis			IBA	PTN000214719 	J:265628 	
MGI:1933154	Slc26a5	solute carrier family 26, member 5	5		positive regulation of cell size			ISO	RGD:69334 	J:155856 	
MGI:1315203	Slit1	slit guidance ligand 1	19		negative regulation of axon extension involved in axon guidance			ISO	RGD:69307 	J:155856 	
MGI:1315205	Slit2	slit guidance ligand 2	5		negative regulation of axon extension	happens in main olfactory bulb		IDA		J:87191 	
MGI:2139806	Spg20	spastic paraplegia 20, spartin (Troyer syndrome) homolog (human)	3		negative regulation of collateral sprouting in absence of injury	regulates a function/process that happens in cerebral cortex,regulates a function/process that happens in CNS neuron (sensu Vertebrata)		IGI	MGI:1919205 	J:185987 	
MGI:2139806	Spg20	spastic paraplegia 20, spartin (Troyer syndrome) homolog (human)	3		negative regulation of collateral sprouting in absence of injury	regulates a function/process that happens in cerebral cortex,regulates a function/process that happens in CNS neuron (sensu Vertebrata)		IMP	MGI:5430946 	J:185987 	
MGI:106658	Srf	serum response factor	17		positive regulation of axon extension			IGI	MGI:1861437 MGI:98927 	J:209602 	
MGI:106658	Srf	serum response factor	17		positive regulation of axon extension	happens in hippocampal neuron,regulates a function/process that happens in hippocampal neuron		IMP	MGI:3522206 	J:209602 	
MGI:1919179	Tmem123	transmembrane protein 123	9		oncosis			ISO	Q8N131 	J:164563 	
MGI:1351484	Tnfrsf12a	tumor necrosis factor receptor superfamily, member 12a	17		positive regulation of axon extension			IDA		J:86309 	
MGI:99516	Tnr	tenascin R	1		negative regulation of axon extension	regulates a function/process that happens in cerebellum,regulates a function/process that happens in CNS neuron (sensu Vertebrata)		IDA		J:111925 	
MGI:99516	Tnr	tenascin R	1		negative regulation of axon extension involved in regeneration	regulates a function/process that happens in motor neuron		IMP	MGI:2154583 	J:111060 	
MGI:2673000	Trim46	tripartite motif-containing 46	3		negative regulation of axon extension			ISO	RGD:1305993 	J:155856 	
MGI:1336991	Trp73	transformation related protein 73	4		positive regulation of cell size			IMP	MGI:1859911 	J:97170 J:109212 	
MGI:109524	Trpc5	transient receptor potential cation channel, subfamily C, member 5	X		positive regulation of axon extension			ISO	RGD:619787 	J:155856 	
MGI:1341836	Trpv2	transient receptor potential cation channel, subfamily V, member 2	11		positive regulation of axon extension			IMP		J:159386 	
MGI:1929183	Tsc1	TSC complex subunit 1	2		negative regulation of cell size			IGI	MGI:1928394 	J:103933 J:104911 	
MGI:1929183	Tsc1	TSC complex subunit 1	2		negative regulation of cell size			IMP	MGI:2176055 MGI:2656240 	J:121858 	
MGI:1929183	Tsc1	TSC complex subunit 1	2		negative regulation of cell size			IMP	MGI:2656240 	J:103933 	
MGI:1929183	Tsc1	TSC complex subunit 1	2		negative regulation of cell size			IMP	MGI:2656240 MGI:2656248 	J:104900 	
MGI:102548	Tsc2	TSC complex subunit 2	17		negative regulation of cell size			ISO	P49816 	J:103933 	
MGI:1916987	Ttl	tubulin tyrosine ligase	2		regulation of axon extension	regulates a function/process that happens in thalamus,regulates a function/process that happens in CNS neuron (sensu Vertebrata)|regulates a function/process that happens in cerebral cortex,regulates a function/process that happens in CNS neuron (sensu Vertebrata)		IMP	MGI:3584264 	J:99877 	
MGI:1346078	Twf2	twinfilin actin binding protein 2	9		positive regulation of axon extension			ISO	Q6IBS0 	J:164563 	
MGI:1276123	Ucn	urocortin	5		negative regulation of cell size			ISO	RGD:3929 	J:155856 	
MGI:1270126	Ulk1	unc-51 like kinase 1	5		negative regulation of collateral sprouting	regulates a function/process that happens in dorsal root ganglion,regulates a function/process that happens in sensory neuron		IMP		J:120306 	
MGI:1352758	Ulk2	unc-51 like kinase 2	11		negative regulation of collateral sprouting	regulates a function/process that happens in dorsal root ganglion,regulates a function/process that happens in sensory neuron		IMP		J:120306 	
MGI:103178	Vegfa	vascular endothelial growth factor A	17		positive regulation of axon extension involved in axon guidance	happens in retinal ganglion cell,happens in optic chiasma	PR:Q00731-2	IDA		J:174966 	
MGI:103178	Vegfa	vascular endothelial growth factor A	17	NOT	positive regulation of axon extension involved in axon guidance			IDA		J:174966 	
MGI:103178	Vegfa	vascular endothelial growth factor A	17		positive regulation of axon extension involved in axon guidance	happens in retinal ganglion cell,happens in optic chiasma		IMP		J:174966 	
MGI:98936	Vpreb1	pre-B lymphocyte gene 1	16		regulation of cell size	regulates a function/process that happens in femur		IDA		J:99189 	
MGI:98936	Vpreb1	pre-B lymphocyte gene 1	16		regulation of cell size	regulates a function/process that happens in femur,regulates a function/process that happens in B cell|regulates a function/process that happens in spleen,regulates a function/process that happens in B cell		IGI	MGI:96562 MGI:98937 	J:99189 	
MGI:98937	Vpreb2	pre-B lymphocyte gene 2	16		regulation of cell size	regulates a function/process that happens in femur,regulates a function/process that happens in B cell|regulates a function/process that happens in spleen,regulates a function/process that happens in B cell		IGI	MGI:96562 MGI:98936 	J:99189 	
MGI:1917819	Wdr36	WD repeat domain 36	18		regulation of axon extension	regulates a function/process that happens in retinal ganglion cell		IMP		J:163638 	
MGI:2685541	Wdtc1	WD and tetratricopeptide repeats 1	4		regulation of cell size			IMP	MGI:3774270 	J:129966 	
MGI:98955	Wnt3	wingless-type MMTV integration site family, member 3	11		negative regulation of axon extension involved in axon guidance			IDA		J:138829 	
MGI:98955	Wnt3	wingless-type MMTV integration site family, member 3	11		positive regulation of collateral sprouting in absence of injury			IDA		J:138829 	
MGI:98956	Wnt3a	wingless-type MMTV integration site family, member 3A	11		negative regulation of axon extension involved in axon guidance			IDA		J:138829 	
MGI:98956	Wnt3a	wingless-type MMTV integration site family, member 3A	11		positive regulation of collateral sprouting in absence of injury			IDA		J:138829 	
MGI:98958	Wnt5a	wingless-type MMTV integration site family, member 5A	14		negative regulation of axon extension involved in axon guidance	regulates a function/process that happens in cerebral cortex,regulates a function/process that happens in CNS neuron (sensu Vertebrata)		IGI	MGI:101766 	J:109038 	
MGI:103569	Xk	X-linked Kx blood group	X		regulation of cell size	happens in erythrocyte,regulates a function/process that happens in erythrocyte		IGI	MGI:1346053 	J:212528 	
MGI:1919602	Zfyve27	zinc finger, FYVE domain containing 27	19		positive regulation of axon extension			IBA	PTN002684487 	J:265628 	
MGI:1919602	Zfyve27	zinc finger, FYVE domain containing 27	19		positive regulation of axon extension			IMP		J:215725 	

