Gene name	Chicken gene name	Chicken homology type	Chicken orthology confidence [0 low, 1 high]
Impg1	IMPG1	ortholog_one2one	1
Sept6	SEPT6	ortholog_one2one	1
Gpsm2	GPSM2	ortholog_one2one	1
Brsk2	BRSK1	ortholog_one2one	1
Smarcc2	SMARCC2	ortholog_one2one	1
Robo2	ROBO2	ortholog_one2one	1
Zfp839	ZNF839	ortholog_one2one	1
Neil2	NEIL2	ortholog_one2one	1
Wdr17	WDR17	ortholog_one2one	1
Tcp10a		ortholog_one2many	0
Syt13	SYT13	ortholog_one2one	1
Tjp1	TJP1	ortholog_one2one	1
Paqr9	PAQR9	ortholog_one2one	1
H2afy	H2AFY	ortholog_one2one	1
Sept10	SEPTIN10	ortholog_one2one	1
Dnajc3	DNAJC3	ortholog_one2one	1
Igfbp1	IGFBP1	ortholog_one2one	1
Odf2	ODF2	ortholog_one2one	1
Nup188	NUP188	ortholog_one2many	1
Pcolce2	PCOLCE2	ortholog_one2one	1
Slc6a12	SLC6A12	ortholog_one2one	1
Map3k4	MAP3K4	ortholog_one2one	1
4833423E24Rik	FADS2	ortholog_one2one	1
Dus4l	DUS4L	ortholog_one2one	1
Sec61a2	SEC61A2	ortholog_one2one	1
Prdx6	PRDX6	ortholog_one2many	1
Ankrd6	ANKRD6	ortholog_one2one	1
Pdgfra	PDGFRA	ortholog_one2one	1
Pcdhgc5	PCDHGC5	ortholog_one2one	1
Tpd52l1	TPD52L1	ortholog_one2one	1
Trpc1	TRPC1	ortholog_one2one	1
Xdh	XDH	ortholog_one2one	1
Shisa4	SHISA4	ortholog_one2one	1
Nfatc1	NFATC1	ortholog_one2one	1
Clec4f		ortholog_one2one	0
Oxr1	OXR1	ortholog_one2one	1
Sesn1	SESN1	ortholog_one2one	1
Msmp	MSMP	ortholog_one2one	1
Eef2	EEF2	ortholog_one2one	1
Tln1	TLN1	ortholog_one2one	1
Rtel1		ortholog_one2one	1
Klf7	KLF7	ortholog_one2one	1
Lrrc75a	LRRC75A	ortholog_one2one	1
Nob1	NOB1	ortholog_one2one	1
Nudt5	NUDT5	ortholog_one2one	1
Prdm11	PRDM11	ortholog_one2one	1
Pitx1	PITX1	ortholog_one2one	1
Ttll4	TTLL4	ortholog_one2one	1
Pole4	POLE4	ortholog_one2one	1
Dhx36	DHX36	ortholog_one2one	1
Rassf6	RASSF6	ortholog_one2one	1
Abhd2	ABHD2	ortholog_one2one	1
Pts	PTS	ortholog_one2one	1
Fam161a	FAM161A	ortholog_one2one	0
Ttll7	TTLL7	ortholog_one2one	1
Cdc123	CDC123	ortholog_one2one	1
Pls1	PLS1	ortholog_one2one	1
Apcdd1	APCDD1	ortholog_one2one	1
Hbp1	HBP1	ortholog_one2one	1
Begain	BEGAIN	ortholog_one2one	1
Pcbd1	PCBD1	ortholog_one2one	1
Hsd3b6	HSD3B1	ortholog_one2many	1
Slco4a1	SLCO4A1	ortholog_one2one	1
Trpc5	TRPC5	ortholog_one2one	1
Pde6c	PDE6C	ortholog_one2one	1
Acad9	ACAD9	ortholog_one2one	1
Anln	ANLN	ortholog_one2one	1
Eps8l2		ortholog_one2many	0
Eps8l2		ortholog_one2many	0
Gm28038	NUP188	ortholog_one2many	0
Dolk	DOLK	ortholog_one2one	1
Gm28035	LRRC8A	ortholog_one2many	1
Zfp616	CTC-575C13.4	ortholog_one2many	0
Cd207		ortholog_many2many	0
Cd207		ortholog_many2many	0
Pcdhgb4		ortholog_many2many	0
Pcdhgb4	PCDHGC3	ortholog_many2many	1
Pcdhgb4		ortholog_many2many	0
Atr	ATR	ortholog_one2one	1
Pcdhga2		ortholog_one2many	0
Pcdhga2		ortholog_one2many	1
Pcdhga2		ortholog_one2many	1
Pcdhga2		ortholog_one2many	1
Pcdhga2		ortholog_one2many	1
Pcdhga2		ortholog_one2many	1
Pcdhga2		ortholog_one2many	1
Pcdhga2		ortholog_one2many	0
Pcdhga2		ortholog_one2many	0
Pcdhga2		ortholog_one2many	1
Pcdhga2		ortholog_one2many	0
Pcdhga2		ortholog_one2many	0
Pcdhga2		ortholog_one2many	1
Pcdhga2		ortholog_one2many	1
Timm50	TIMM50	ortholog_one2one	1
Pola2		ortholog_one2many	1
Pola2		ortholog_one2many	0
Zbtb1	ZBTB1	ortholog_one2one	1
Htr1b	HTR1B	ortholog_one2one	1
Pum1	PUM1	ortholog_one2one	1
Fabp4	FABP4	ortholog_one2one	1
Nos2	NOS2	ortholog_one2one	1
Pcdhgb5		ortholog_many2many	0
Pcdhgb5	PCDHGC3	ortholog_many2many	1
Pcdhgb5		ortholog_many2many	0
Cpa6	CPA6	ortholog_one2one	1
Gm21244	SPIN1Z	ortholog_many2many	1
Gm21244	SPIN1W	ortholog_many2many	0
Dlx6	DLX6	ortholog_one2one	1
Prmt3	PRMT3	ortholog_one2one	1
B9d1	B9D1	ortholog_one2one	1
Ccn2	NOV	ortholog_one2one	1
Srd5a2	SRD5A2	ortholog_one2one	1
Lipo1		ortholog_many2many	1
Tal2	TAL2	ortholog_one2one	1
Brms1l	BRMS1L	ortholog_one2one	1
Slitrk2	SLITRK2	ortholog_one2one	1
Mapk9	MAPK9	ortholog_one2one	1
Abcc1	ABCC1	ortholog_one2one	1
Ppp1cc	PPP1CC	ortholog_one2one	1
Memo1	MEMO1	ortholog_one2one	1
Rgp1	RGP1	ortholog_one2one	1
Dlgap3	DLGAP3	ortholog_one2one	1
Gtf3c6	GTF3C6	ortholog_one2one	1
Nrbf2	NRBF2	ortholog_one2one	1
Taf7	TAF7	ortholog_one2one	1
Gpi1	GPI	ortholog_one2one	1
Dkc1	DKC1	ortholog_one2one	1
Fgfr1op2	FGFR1OP2	ortholog_one2one	1
Mycn	MYCN	ortholog_one2many	1
Pcdhb7	PCDHB4	ortholog_one2many	0
Rapgef3	RAPGEF3	ortholog_one2one	1
March1	MARCH1	ortholog_one2one	1
Rabepk	RABEPK	ortholog_one2one	1
Slc26a7	SLC26A7	ortholog_one2one	1
Commd3	COMMD3	ortholog_one2one	1
S100b	S100B	ortholog_one2one	1
Dip2a	DIP2A	ortholog_one2one	1
Kansl3	KANSL3	ortholog_one2one	1
Tmem38b	TMEM38B	ortholog_one2one	1
Ppil3	PPIL3	ortholog_one2one	1
Fra10ac1	FRA10AC1	ortholog_one2one	1
Mei4	MEI4	ortholog_one2one	1
Pias1	PIAS1	ortholog_one2one	1
Fbxw2	FBXW2	ortholog_one2one	1
Themis2	THEMIS2	ortholog_one2one	1
Rps29	RPS29	ortholog_one2one	1
Med7	MED7	ortholog_one2one	1
Xrn1	XRN1	ortholog_one2one	1
Ints13	INTS13	ortholog_one2one	1
Gpr34	GPR34	ortholog_one2one	1
Creb3	CREB3	ortholog_one2one	1
Dpy30	DPY30	ortholog_one2one	1
Hsd3b1	HSD3B1	ortholog_one2many	1
Gpr149	GPR149	ortholog_one2one	1
Usp54	USP54	ortholog_one2one	1
Emg1	EMG1	ortholog_one2one	1
Mpp1	MPP1	ortholog_one2one	1
Cask	CASK	ortholog_one2one	1
Fcho2		ortholog_one2many	1
Fcho2		ortholog_one2many	0
Gba2	GBA2	ortholog_one2one	1
Pcdhb5	PCDHB4	ortholog_one2many	0
Lrr1	LRR1	ortholog_one2one	1
Lpcat3	LPCAT3	ortholog_one2one	1
Slc6a5	SLC6A5	ortholog_one2one	1
Rida	RIDA	ortholog_one2one	1
Skor1		ortholog_one2many	0
Skor1		ortholog_one2many	0
Gm21488		ortholog_one2many	0
Mgat5b	MGAT5B	ortholog_one2one	1
Cog5	COG5	ortholog_one2one	1
Samd5	SAMD5	ortholog_one2one	1
Dpyd	DPYD	ortholog_one2one	1
Slc39a10	SLC39A10	ortholog_one2one	1
Orc2	ORC2	ortholog_one2one	1
Cacna1g	CACNA1G	ortholog_one2one	1
Ppp3cb	PPP3CB	ortholog_one2one	1
Otud6b	OTUD6A	ortholog_one2one	1
Scrg1	SCRG1	ortholog_one2one	1
Cntln	CNTLN	ortholog_one2one	1
Irak1bp1	IRAK1BP1	ortholog_one2one	1
Tmf1	TMF1	ortholog_one2one	1
Ubxn2a	UBXN2A	ortholog_one2one	1
Grpel2	GRPEL2	ortholog_one2one	1
Tmem242	TMEM242	ortholog_one2one	1
Zbtb5	ZBTB5	ortholog_one2one	1
Spg20	SPART	ortholog_one2one	1
Mmgt2	MMGT1	ortholog_one2many	1
Spast	SPAST	ortholog_one2one	1
Ppbp		ortholog_one2one	1
Afap1l1	AFAP1L1	ortholog_one2one	1
Ugt2b37		ortholog_one2many	1
Slc13a4	SLC13A4	ortholog_one2one	1
Gm49384	POLE2	ortholog_one2many	0
Dnaaf2	DNAAF2	ortholog_one2many	1
Sap30	SAP30	ortholog_one2one	1
Ipo9	IPO9	ortholog_one2one	1
Nobox		ortholog_one2one	0
Mgat2	MGAT2	ortholog_one2one	1
Fbn2	FBN2	ortholog_one2one	1
Sptbn2		ortholog_one2many	0
Sptbn2		ortholog_one2many	0
Sptbn2		ortholog_one2many	0
Acad8	ACAD8	ortholog_one2one	1
Gm49383	DNAAF2	ortholog_one2many	0
Hist4h4	HIST1H46	ortholog_one2many	1
Pole2	POLE2	ortholog_one2many	1
Tmem223	TMEM223	ortholog_one2one	1
Ppp1r36		ortholog_one2one	0
Zhx1	ZHX1	ortholog_one2one	1
Fgf18	FGF18	ortholog_one2one	1
Dnajb14	DNAJB14	ortholog_one2one	1
Rtn4	RTN4	ortholog_one2one	1
Podxl	PODXL	ortholog_one2one	1
9530077C05Rik	KIAA0895	ortholog_one2one	1
Gk5	GK5	ortholog_one2one	1
Gm1140		ortholog_one2many	0
9130401M01Rik		ortholog_one2many	1
Nif3l1	NIF3L1	ortholog_one2one	1
Amd1	AMD1	ortholog_one2many	1
Pde4b		ortholog_one2one	1
Nusap1	NUSAP1	ortholog_one2one	1
Dok3	DOK3	ortholog_one2one	1
Bco2	BCO2	ortholog_one2one	1
Hao2	HAO2	ortholog_one2one	1
Gm29394		ortholog_one2many	0
Cdh9	CDH9	ortholog_one2one	1
Soat1	SOAT1	ortholog_one2one	1
Dhrs2		ortholog_many2many	0
Dhrs2	DHRS4	ortholog_many2many	1
Dhrs2		ortholog_many2many	0
Gucy1b1	GUCY1B1	ortholog_one2one	1
Tex12	TEX12	ortholog_one2one	1
Mutyh		ortholog_one2one	1
Hmgb3	HMGB3	ortholog_one2one	1
Map4k4	MAP4K4	ortholog_one2one	1
Trim39		ortholog_one2one	0
Il18	IL18	ortholog_one2one	1
Gm21992	RBM4	ortholog_one2many	1
Gm14692		ortholog_one2many	0
Ankrd17	ANKRD17	ortholog_one2one	1
Zdhhc14	ZDHHC14	ortholog_one2one	1
Rbm14	RBM14	ortholog_one2one	1
Ntsr1	NTSR1	ortholog_one2one	1
Rcl1	RCL1	ortholog_one2one	1
Sowahd		ortholog_one2one	0
Fes	FES	ortholog_one2one	1
Atg7	ATG7	ortholog_one2one	1
Zc3h7a	ZC3H7A	ortholog_one2one	1
Phf24	PHF24	ortholog_one2one	1
Alox5ap	ALOX5AP	ortholog_one2one	1
Mrgbp	MRGBP	ortholog_one2one	1
Higd2a		ortholog_one2one	1
Kdm6a		ortholog_one2many	1
Tm9sf4	TM9SF4	ortholog_one2one	1
Alg10b	ALG10	ortholog_one2one	1
Oip5	OIP5	ortholog_one2one	1
Gm49630	UNC93A	ortholog_one2many	0
Rbm4	RBM4	ortholog_one2many	1
Angptl3	ANGPTL3	ortholog_one2one	1
P4ha2	P4HA2	ortholog_one2one	1
Unc93a2	UNC93A	ortholog_one2many	1
Prl4a1	prl	ortholog_one2many	1
Pcdhac2	PCDHAC1	ortholog_one2one	1
Lpar1	LPAR1	ortholog_one2one	1
Carf	CARF	ortholog_one2one	1
Wwp2	WWP2	ortholog_one2one	1
Atp4b	ATP4B	ortholog_one2one	1
Dock7	DOCK7	ortholog_one2one	1
Gm28998		ortholog_one2many	0
Tfdp2	TFDP2	ortholog_one2one	1
H2-M10.2		ortholog_many2many	0
H2-M10.2		ortholog_many2many	0
H2-M10.2		ortholog_many2many	0
H2-M10.2		ortholog_many2many	0
H2-M10.2		ortholog_many2many	0
H2-M10.2		ortholog_many2many	0
H2-M10.2		ortholog_many2many	0
H2-M10.2		ortholog_many2many	0
H2-M10.2		ortholog_many2many	0
H2-M10.2		ortholog_many2many	0
H2-M10.2	BF1	ortholog_many2many	1
H2-M10.2	YF5	ortholog_many2many	0
H2-M10.2		ortholog_many2many	1
H2-M10.2	BF2	ortholog_many2many	0
H2-M10.2		ortholog_many2many	0
H2-M10.2		ortholog_many2many	0
H2-M10.2		ortholog_many2many	0
H2-M10.2		ortholog_many2many	0
Tns4	TNS4	ortholog_one2one	1
Sp8	SP8	ortholog_one2one	1
Uba3	UBA3	ortholog_one2one	1
Lilra5		ortholog_one2many	0
Pip4p2	TMEM55A	ortholog_one2one	1
Pcdhb9	PCDHB4	ortholog_one2many	0
Lamtor3	LAMTOR3	ortholog_one2one	1
Sfrp1	SFRP1	ortholog_one2one	1
Ttll2	TTLL2	ortholog_one2one	1
Map2k5	MAP2K5	ortholog_one2one	1
Slc35e4	SLC35E4	ortholog_one2one	1
Ankib1	ANKIB1	ortholog_one2one	1
Mocos	MOCOS	ortholog_one2one	1
Slc30a6	SLC30A6	ortholog_one2one	1
Dlx5	DLX5	ortholog_one2one	1
Slc5a11	SLC5A11	ortholog_one2one	1
Gpr82	GPR82	ortholog_one2one	1
Cc2d1a	CC2D1A	ortholog_one2one	0
Xpo1	XPO1	ortholog_one2many	1
Xpo1		ortholog_one2many	0
Necab1	NECAB1	ortholog_one2one	1
Prl5a1	prl	ortholog_one2many	1
C7	C7	ortholog_one2one	1
Tma16	TMA16	ortholog_one2one	1
4933415F23Rik	PPP1R14B	ortholog_one2many	0
Slco1c1	SLCO1C1	ortholog_one2one	1
Wnk4		ortholog_one2one	0
H2-M10.1		ortholog_many2many	0
H2-M10.1		ortholog_many2many	0
H2-M10.1		ortholog_many2many	0
H2-M10.1		ortholog_many2many	0
H2-M10.1		ortholog_many2many	0
H2-M10.1		ortholog_many2many	0
H2-M10.1		ortholog_many2many	0
H2-M10.1		ortholog_many2many	0
H2-M10.1		ortholog_many2many	0
H2-M10.1		ortholog_many2many	0
H2-M10.1	BF1	ortholog_many2many	0
H2-M10.1	YF5	ortholog_many2many	0
H2-M10.1		ortholog_many2many	0
H2-M10.1	BF2	ortholog_many2many	0
H2-M10.1		ortholog_many2many	0
H2-M10.1		ortholog_many2many	0
H2-M10.1		ortholog_many2many	0
H2-M10.1		ortholog_many2many	0
Wdr12	WDR12	ortholog_one2one	1
Cinp	CINP	ortholog_one2one	1
Adamtsl1	ADAMTSL1	ortholog_one2one	1
Mtmr2	MTMR2	ortholog_one2one	1
Galk2	GALK2	ortholog_one2one	1
Fgf8	FGF8	ortholog_one2one	1
Pmm1	PMM1	ortholog_one2one	1
Armc2	ARMC2	ortholog_one2one	0
Mdfic	MDFIC	ortholog_one2one	1
Cltb	CLTB	ortholog_one2one	1
Rsf1	RSF1	ortholog_one2one	1
Rbm11	RBM11	ortholog_one2one	1
Timm22	TIMM22	ortholog_one2one	1
Hmgb2	HMGB2	ortholog_one2one	1
Ogfr	OGFR	ortholog_one2one	1
Gm20826	SPIN1Z	ortholog_many2many	1
Gm20826	SPIN1W	ortholog_many2many	0
Dhtkd1	DHTKD1	ortholog_one2one	1
Il22	IL22	ortholog_one2many	1
Smim12	SMIM12	ortholog_one2one	1
2300009A05Rik	C15orf61	ortholog_one2one	1
Gm20894		ortholog_one2many	0
8030462N17Rik		ortholog_one2many	1
8030462N17Rik		ortholog_one2many	0
Unc5a	UNC5A	ortholog_one2one	1
Pirt	PIRT	ortholog_one2one	1
Sdhd	SDHD	ortholog_one2one	1
Thap12	THAP12	ortholog_one2one	1
Gatad2a	GATAD2A	ortholog_one2one	1
Clns1a	CLNS1A	ortholog_one2one	1
Gm32717	CDC5L	ortholog_one2many	1
Gpr50	GPR50	ortholog_one2one	1
Ppp5c		ortholog_one2one	1
Gm32802	CDC5L	ortholog_one2many	1
Snx9	SNX9	ortholog_one2one	1
Zranb3	ZRANB3	ortholog_one2one	1
Pars2	PARS2	ortholog_one2one	1
Gramd3	GRAMD2B	ortholog_one2one	1
Iqch	IQCH	ortholog_one2one	1
Phb2	PHB2	ortholog_one2one	1
Iltifb	IL22	ortholog_one2many	1
Tmem64	TMEM64	ortholog_one2one	1
Gata4	GATA4	ortholog_one2one	1
Qrfpr	QRFPR	ortholog_one2many	1
Pih1d2	PIH1D2	ortholog_one2one	1
Myct1	MYCT1	ortholog_one2one	1
Pdcl	PDCL	ortholog_one2one	1
Akap1	AKAP1	ortholog_one2one	1
Snrpb2	SNRPB2	ortholog_one2one	1
Cntd1	CNTD1	ortholog_one2one	1
Tfec	TFEC	ortholog_one2one	1
Gm28576		ortholog_one2many	0
Tssc4	TSSC4	ortholog_one2one	1
Mthfd2l	MTHFD2L	ortholog_one2one	1
Fgf7	FGF7	ortholog_one2one	1
Gfi1b	GFI1B	ortholog_one2one	1
Creb1	CREB1	ortholog_one2one	1
Gpatch2l	GPATCH2L	ortholog_one2one	1
Becn1	BECN1	ortholog_one2many	1
Hk3	HK3	ortholog_one2one	1
Abca13		ortholog_one2many	0
Abca13		ortholog_one2many	0
Abca13		ortholog_one2many	0
Ccr7	CCR7	ortholog_one2one	1
Cops2	COPS2	ortholog_one2one	1
Atp7a	ATP7A	ortholog_one2one	1
Atad2b	ATAD2B	ortholog_one2one	1
Zmat4	ZMAT4	ortholog_one2one	1
Gm4070		ortholog_one2many	1
Napg	NAPG	ortholog_one2one	1
Adcy2	ADCY2	ortholog_one2one	1
Eml6	EML6	ortholog_one2one	1
Ppp1r8	PPP1R8	ortholog_one2one	1
Ncr1		ortholog_one2many	0
Impa1	IMPA1	ortholog_one2one	1
Vip	VIP	ortholog_one2one	1
Prex2	PREX2	ortholog_one2one	1
Ptpra	PTPRA	ortholog_one2one	1
Gja4	GJA4	ortholog_one2one	1
Atp5a1		ortholog_one2many	0
Atp5a1	ATP5A1Z	ortholog_one2many	1
Trpm5	TRPM5	ortholog_one2one	1
Cdx4	CDX4	ortholog_one2one	1
Lipf		ortholog_many2many	0
Trpm8	TRPM8	ortholog_one2one	1
Vamp3	VAMP3	ortholog_one2one	1
Gstp3	GSTA2	ortholog_many2many	0
Smco3	SMCO3	ortholog_one2one	1
Gtpbp6	GTPBP6	ortholog_one2one	0
Per3	PER3	ortholog_one2one	1
Chic1	CHIC1	ortholog_one2one	1
Zfp740	ZNF740	ortholog_one2one	1
Rgs22		ortholog_one2many	0
Rgs22		ortholog_one2many	0
Gm29049	SPIN1Z	ortholog_many2many	1
Gm29049	SPIN1W	ortholog_many2many	0
Wnt11	WNT11	ortholog_one2one	1
Upf2	UPF2	ortholog_one2one	1
Pla2g6	PLA2G6	ortholog_one2one	1
4931440F15Rik	FEM1A	ortholog_one2many	1
B2m	B2M	ortholog_one2one	1
Hgh1		ortholog_one2many	0
Hgh1		ortholog_one2many	0
Akirin2	AKIRIN2	ortholog_one2one	1
Gjb5	GJB5	ortholog_one2one	1
Edar	EDAR	ortholog_one2one	1
Crhr2	CRHR2	ortholog_one2one	0
Olfr1006		ortholog_one2many	1
Rpl39	RPL39L	ortholog_one2one	1
Fam180a	FAM180A	ortholog_one2one	1
Orc3	ORC3	ortholog_one2one	1
Patl2	PATL2	ortholog_one2one	1
Syp	SYP	ortholog_one2one	0
Slco1b2	SLCO1B3	ortholog_one2one	1
Shroom3	SHROOM3	ortholog_one2one	1
Aldh1a7	ALDH1A1	ortholog_one2many	1
Dnajc5b	DNAJC5B	ortholog_one2one	1
Plcxd1	PLCXD1	ortholog_one2one	1
Neurog1	NEUROG1	ortholog_one2one	1
Gm9040	CDC5L	ortholog_one2many	1
4931406P16Rik	KIAA0355	ortholog_one2one	1
Gm9044	CDC5L	ortholog_one2many	1
Gm9045	CDC5L	ortholog_one2many	1
Gsc	GSC	ortholog_one2one	1
Myh11	MYH11	ortholog_one2one	1
Rps6kc1	RPS6KC1	ortholog_one2one	1
Tmem220	TMEM220	ortholog_one2one	1
Nlrc4		ortholog_one2one	0
Cxcl14	CXCL14	ortholog_one2one	1
Pnpla7	PNPLA7	ortholog_one2one	1
Bmp4	BMP4	ortholog_one2one	1
Csad	CSAD	ortholog_one2one	1
Usp20	USP20	ortholog_one2one	1
Scpep1	SCPEP1	ortholog_one2one	1
Gm20825	SPIN1Z	ortholog_many2many	1
Gm20825	SPIN1W	ortholog_many2many	0
Vma21	VMA21	ortholog_one2one	1
Celf3	CELF3	ortholog_one2one	1
Uts2	UTS2	ortholog_one2one	1
Uap1l1	UAP1L1	ortholog_one2one	1
Epgn	EPGN	ortholog_one2one	1
Tm2d3	TM2D3	ortholog_one2one	1
Camta1		ortholog_one2many	1
Camta1		ortholog_one2many	1
Gm9046	CDC5L	ortholog_one2many	1
H2-M10.3		ortholog_many2many	0
H2-M10.3		ortholog_many2many	0
H2-M10.3		ortholog_many2many	1
H2-M10.3		ortholog_many2many	1
H2-M10.3		ortholog_many2many	1
H2-M10.3		ortholog_many2many	0
H2-M10.3		ortholog_many2many	1
H2-M10.3		ortholog_many2many	1
H2-M10.3		ortholog_many2many	0
H2-M10.3		ortholog_many2many	0
H2-M10.3	BF1	ortholog_many2many	0
H2-M10.3	YF5	ortholog_many2many	0
H2-M10.3		ortholog_many2many	0
H2-M10.3	BF2	ortholog_many2many	1
H2-M10.3		ortholog_many2many	1
H2-M10.3		ortholog_many2many	1
H2-M10.3		ortholog_many2many	1
H2-M10.3		ortholog_many2many	0
Gm9048	CDC5L	ortholog_one2many	1
Adprm	ADPRM	ortholog_one2one	1
Gm9049	CDC5L	ortholog_one2many	1
Yipf4	YIPF4	ortholog_one2one	1
Ndufaf1	NDUFAF1	ortholog_one2one	1
Rpl37	RPL37	ortholog_one2one	1
Slc35e1	SLC35E1	ortholog_one2one	1
Hspa13	HSPA13	ortholog_one2one	1
Tmc1	TMC1	ortholog_one2one	1
Efcab1	EFCAB1	ortholog_one2one	1
Mmp23	MMP23B	ortholog_one2one	1
Fbxo5	FBXO5	ortholog_one2one	1
Nsmce2	NSMCE2	ortholog_one2one	1
Tarsl2	TARSL2	ortholog_one2one	1
Cerk	CERK	ortholog_one2one	1
Hepacam	HEPACAM	ortholog_one2one	1
Ptbp2	PTBP2	ortholog_one2one	1
Tac1	TAC1	ortholog_one2one	1
2010300C02Rik		ortholog_one2one	0
Rasgef1c	RASGEF1C	ortholog_one2one	1
H2-M10.4		ortholog_many2many	0
H2-M10.4		ortholog_many2many	0
H2-M10.4		ortholog_many2many	1
H2-M10.4		ortholog_many2many	1
H2-M10.4		ortholog_many2many	0
H2-M10.4		ortholog_many2many	0
H2-M10.4		ortholog_many2many	0
H2-M10.4		ortholog_many2many	0
H2-M10.4		ortholog_many2many	0
H2-M10.4		ortholog_many2many	0
H2-M10.4	BF1	ortholog_many2many	0
H2-M10.4	YF5	ortholog_many2many	0
H2-M10.4		ortholog_many2many	0
H2-M10.4	BF2	ortholog_many2many	0
H2-M10.4		ortholog_many2many	1
H2-M10.4		ortholog_many2many	1
H2-M10.4		ortholog_many2many	1
H2-M10.4		ortholog_many2many	0
Gas6	GAS6	ortholog_one2one	1
Hgs	HGS	ortholog_one2one	1
Ereg	EREG	ortholog_one2one	1
Tes	TES	ortholog_one2many	1
Blk	BLK	ortholog_one2one	1
H2-M11		ortholog_many2many	0
H2-M11		ortholog_many2many	0
H2-M11		ortholog_many2many	1
H2-M11		ortholog_many2many	1
H2-M11		ortholog_many2many	0
H2-M11		ortholog_many2many	0
H2-M11		ortholog_many2many	0
H2-M11		ortholog_many2many	0
H2-M11		ortholog_many2many	0
H2-M11		ortholog_many2many	0
H2-M11	BF1	ortholog_many2many	0
H2-M11	YF5	ortholog_many2many	0
H2-M11		ortholog_many2many	0
H2-M11	BF2	ortholog_many2many	1
H2-M11		ortholog_many2many	0
H2-M11		ortholog_many2many	1
H2-M11		ortholog_many2many	1
H2-M11		ortholog_many2many	0
Adgra1	ADGRA1	ortholog_one2one	1
Tcim	TCIM	ortholog_one2one	1
Tmem255b	TMEM255B	ortholog_one2one	1
H3f3b	H3F3C	ortholog_one2one	0
Slc25a32	SLC25A32	ortholog_one2one	1
Mrps26	MRPS26	ortholog_one2one	1
Wnt2b	WNT2B	ortholog_one2one	1
Samsn1	SAMSN1	ortholog_one2one	1
Hdac3	HDAC3	ortholog_one2one	1
Med26		ortholog_one2one	1
Abhd17a	ABHD17A	ortholog_one2one	1
Trim55	TRIM55	ortholog_one2one	1
6030468B19Rik		ortholog_one2many	0
Sntg1	SNTG1	ortholog_one2one	1
Cttnbp2nl	CTTNBP2NL	ortholog_one2one	1
Asah1	ASAH1	ortholog_one2one	1
Opa3	OPA3	ortholog_one2one	1
Calb1	CALB1	ortholog_one2one	1
Slc27a6	SLC27A6	ortholog_one2one	1
Tnfrsf9	TNFRSF9	ortholog_one2one	1
Ifng	IFNG	ortholog_one2one	1
Naa15	NAA15	ortholog_one2one	1
Fam167a	FAM167A	ortholog_one2one	1
Tk1	TK1	ortholog_one2one	1
Anxa5	ANXA5	ortholog_one2one	1
Phip	PHIP	ortholog_one2one	1
Siglec1		ortholog_one2one	0
Tenm1	TENM1	ortholog_one2one	1
H2-M9		ortholog_many2many	0
H2-M9		ortholog_many2many	0
H2-M9		ortholog_many2many	0
H2-M9		ortholog_many2many	0
H2-M9		ortholog_many2many	0
H2-M9		ortholog_many2many	0
H2-M9		ortholog_many2many	0
H2-M9		ortholog_many2many	0
H2-M9		ortholog_many2many	0
H2-M9		ortholog_many2many	0
H2-M9	BF1	ortholog_many2many	1
H2-M9	YF5	ortholog_many2many	0
H2-M9		ortholog_many2many	0
H2-M9	BF2	ortholog_many2many	0
H2-M9		ortholog_many2many	0
H2-M9		ortholog_many2many	0
H2-M9		ortholog_many2many	0
H2-M9		ortholog_many2many	0
Sdc3	SDC3	ortholog_one2one	1
Spp1	SPP1	ortholog_one2one	0
Reln	RELN	ortholog_one2one	1
Fndc3b	FNDC3B	ortholog_one2one	1
Mri1	MRI1	ortholog_one2one	1
Rtf1	RTF1	ortholog_one2one	1
Arl6ip5	ARL6IP5	ortholog_one2one	1
Gm20937		ortholog_one2many	0
Afmid	AFMID	ortholog_one2one	1
Lrrd1		ortholog_one2one	0
Sco1	SCO1	ortholog_one2one	1
Gucy1a1	GUCY1A1	ortholog_one2one	1
Aknad1		ortholog_one2one	0
Hpdl	HPDL	ortholog_one2one	1
Haus1	HAUS1	ortholog_one2one	1
Trib2	TRIB2	ortholog_one2one	1
Nrip1	NRIP1	ortholog_one2one	1
Krit1	KRIT1	ortholog_one2one	1
Tcn2	TCN2	ortholog_one2one	1
Lmod3	LMOD3	ortholog_one2one	1
Pfkfb3	PFKFB3	ortholog_one2one	1
Nfxl1	NFXL1	ortholog_one2one	1
Pet2		ortholog_many2many	0
Pet2		ortholog_many2many	0
Nsun2	NSUN2	ortholog_one2one	1
Hk2	HK2	ortholog_one2one	1
Cenpc1	CENPC	ortholog_one2one	0
Oga	MGEA5	ortholog_one2one	1
Mbip	MBIP	ortholog_one2one	1
H2-M1		ortholog_many2many	0
H2-M1		ortholog_many2many	0
H2-M1		ortholog_many2many	0
H2-M1		ortholog_many2many	0
H2-M1		ortholog_many2many	0
H2-M1		ortholog_many2many	0
H2-M1		ortholog_many2many	0
H2-M1		ortholog_many2many	0
H2-M1		ortholog_many2many	0
H2-M1		ortholog_many2many	0
H2-M1	BF1	ortholog_many2many	0
H2-M1	YF5	ortholog_many2many	0
H2-M1		ortholog_many2many	0
H2-M1	BF2	ortholog_many2many	0
H2-M1		ortholog_many2many	0
H2-M1		ortholog_many2many	0
H2-M1		ortholog_many2many	0
H2-M1		ortholog_many2many	0
